"","tdif","terms"
"line",0.437046216155558,"line"
"compar",0.422423208521607,"compar"
"load",0.419587250983413,"load"
"thread",0.413570871917672,"thread"
"request",0.398549282192173,"request"
"stay",0.365168703727716,"stay"
"certain",0.358474603130008,"certain"
"download",0.354539623920939,"download"
"receiv",0.354137823117823,"receiv"
"place",0.353330740431971,"place"
"million",0.350184530182572,"million"
"project",0.349963078169609,"project"
"messag",0.348763500279697,"messag"
"perfect",0.341908961880567,"perfect"
"automat",0.34101226828769,"automat"
"solv",0.336228126113405,"solv"
"state",0.333057120781322,"state"
"onlin",0.332885085154917,"onlin"
"otherwis",0.330064665696236,"otherwis"
"tag",0.329407740055936,"tag"
"media",0.326825496552737,"media"
"involv",0.324680439405877,"involv"
"fuck",0.323219802449242,"fuck"
"drive",0.321471322116259,"drive"
"target",0.313096334641002,"target"
"pair",0.310106713745295,"pair"
"error",0.305043210876267,"error"
"cool",0.301243245303867,"cool"
"join",0.300216524827029,"join"
"valid",0.292425689528454,"valid"
"decid",0.286890684195541,"decid"
"doubl",0.282886030626536,"doubl"
"content",0.278333788840006,"content"
"digit",0.273139220258058,"digit"
"disabl",0.271935302472829,"disabl"
"protect",0.271668794261999,"protect"
"solut",0.270272668992882,"solut"
"block",0.265005052028988,"block"
"entri",0.264522026436113,"entri"
"addit",0.263528735669648,"addit"
"excit",0.259479783576003,"excit"
"commit",0.255808179869963,"commit"
"social",0.253021514008763,"social"
"url",0.252834267696336,"url"
"initi",0.249362786023761,"initi"
"manual",0.246498916097448,"manual"
"random",0.246275979797593,"random"
"report",0.24001204889432,"report"
"major",0.237005550473333,"major"
"enabl",0.233560455845404,"enabl"
"search",0.232056528936662,"search"
"care",0.23156522305183,"care"
"clean",0.231240704343953,"clean"
"resourc",0.225788784573098,"resourc"
"facebook",0.215921349807298,"facebook"
"offici",0.214892090470982,"offici"
"notic",0.214578910684548,"notic"
"pay",0.214549065011883,"pay"
"wait",0.214445149025547,"wait"
"virtual",0.212863867171784,"virtual"
"team",0.209811832796103,"team"
"hash",0.20879850121091,"hash"
"quick",0.20610128856348,"quick"
"organ",0.201886482399947,"organ"
"note",0.198494580253611,"note"
"global",0.196596135102533,"global"
"altern",0.176730587270386,"altern"
"liter",0.176572070034383,"liter"
"video",0.175898352410516,"video"
"present",0.175470664609105,"present"
"compil",0.174418550765885,"compil"
"forward",0.174229908652369,"forward"
"python",0.170946095413767,"python"
"usb",0.166312256430039,"usb"
"super",0.159042185665123,"super"
"text",0.152760421386108,"text"
"quot",0.151031602724159,"quot"
"pin",0.149994851797207,"pin"
"mostli",0.143595932199388,"mostli"
"affect",0.142187565295345,"affect"
"secret",0.135309182257331,"secret"
"modifi",0.131438906101152,"modifi"
"malici",0.130633871932163,"malici"
"suppos",0.127570152987833,"suppos"
"practic",0.124198120245631,"practic"
"particular",0.121265672900332,"particular"
"lead",0.120437487546951,"lead"
"potenti",0.115873587082675,"potenti"
"control",0.111171445399667,"control"
"forens",0.103939881780498,"forens"
"page",0.103804304923709,"page"
"step",0.103448258362226,"step"
"array",0.102541244767531,"array"
"effect",0.0972804472800491,"effect"
"access",0.0969349299496394,"access"
"finish",0.0951877812233024,"finish"
"match",0.0938516610802589,"match"
"imag",0.0929769195842188,"imag"
"physic",0.0877840128215248,"physic"
"improv",0.0877245403124051,"improv"
"research",0.0866899342993979,"research"
"perform",0.0820525305206433,"perform"
"pull",0.0682036977116073,"pull"
"direct",0.0643561648854994,"direct"
"shit",0.0627346027226215,"shit"
"accord",0.0592115770788851,"accord"
"mobil",0.0585489173037009,"mobil"
"edit",0.0573807818677778,"edit"
"argument",0.0556861793528434,"argument"
"cover",0.0543049006847359,"cover"
"ubuntu",0.0499222504221506,"ubuntu"
"upgrad",0.0478242307667391,"upgrad"
"previou",0.0450366806887744,"previou"
"purpos",0.0428114349341125,"purpos"
"format",0.0390391168473435,"format"
"built",0.0376871892713489,"built"
"difficult",0.037351317454938,"difficult"
"process",0.0372946373830881,"process"
"necessari",0.0361346600018852,"necessari"
"term",0.0326295324117877,"term"
"push",0.0319469861594591,"push"
"skill",0.031005049358195,"skill"
"secur",0.030407273597743,"secur"
"port",0.0303097294399056,"port"
"perhap",0.0290148305603269,"perhap"
"scan",0.0287543537284782,"scan"
"record",0.0266765399310042,"record"
"deal",0.0226588440907014,"deal"
"bug",0.0211507139083367,"bug"
"sent",0.0209639692328407,"sent"
"correctli",0.0191399216154345,"correctli"
"document",0.0173844087998376,"document"
"hand",0.0159555023692769,"hand"
"typic",0.0150917018783441,"typic"
"forc",0.00950648952241341,"forc"
"cert",0.00842808335363225,"cert"
"identifi",0.00591248995831492,"identifi"
"plan",0.0035405743015181,"plan"
"tip",0.00296783360720052,"tip"
"slow",0.00220110993325288,"slow"
"popular",0.000433022843418259,"popular"
"machin",-0.000721359799407659,"machin"
"collect",-0.00151092492178371,"collect"
"unfortun",-0.00444080712761581,"unfortun"
"essenti",-0.00584802123653632,"essenti"
"describ",-0.011757177812149,"describ"
"success",-0.0126199378481383,"success"
"client",-0.0166248755198528,"client"
"sweep",-0.0194015195929882,"sweep"
"ultim",-0.0200995937231359,"ultim"
"stand",-0.0237008246074622,"stand"
"box",-0.0238913717232832,"box"
"regular",-0.0256115580051167,"regular"
"track",-0.0264295043542523,"track"
"info",-0.0284829743412877,"info"
"posit",-0.029000457235805,"posit"
"internet",-0.030676623641659,"internet"
"past",-0.0309971956551555,"past"
"rout",-0.0355146654226008,"rout"
"discov",-0.0359416996331545,"discov"
"fals",-0.0408843669483454,"fals"
"attempt",-0.0416459019734467,"attempt"
"configur",-0.0438086849118077,"configur"
"futur",-0.0444033758771021,"futur"
"tweet",-0.0463406005668988,"tweet"
"properli",-0.0517420055250392,"properli"
"packag",-0.0570219185850333,"packag"
"confus",-0.0588952106470917,"confus"
"modern",-0.0616480032781683,"modern"
"binari",-0.0624700240154921,"binari"
"sort",-0.0627837590814062,"sort"
"patch",-0.0644119481505687,"patch"
"properti",-0.0686242072005305,"properti"
"amazon",-0.0738931334206945,"amazon"
"warn",-0.0795522633320472,"warn"
"figur",-0.0805659114637868,"figur"
"ignor",-0.0833081965816782,"ignor"
"stuff",-0.0856481912166311,"stuff"
"bundl",-0.0882253502387138,"bundl"
"uniqu",-0.0910409965406172,"uniqu"
"exampl",-0.0945932514377552,"exampl"
"compromis",-0.0974423829689328,"compromis"
"paid",-0.0991060723088776,"paid"
"branch",-0.102501075397531,"branch"
"extern",-0.105729186369444,"extern"
"natur",-0.110993885968741,"natur"
"launch",-0.112021847632489,"launch"
"screen",-0.112033327128417,"screen"
"empti",-0.113009094927755,"empti"
"critic",-0.115136296282004,"critic"
"upload",-0.117776792315285,"upload"
"kernel",-0.120989917776791,"kernel"
"legal",-0.121037801909093,"legal"
"individu",-0.121614020264717,"individu"
"detect",-0.124547781500751,"detect"
"fulli",-0.126565393823998,"fulli"
"view",-0.126571266829937,"view"
"immedi",-0.127009477805207,"immedi"
"paramet",-0.128387981408959,"paramet"
"reach",-0.129176283098041,"reach"
"publish",-0.1294354443715,"publish"
"kill",-0.135480976825051,"kill"
"nation",-0.136977307994916,"nation"
"advanc",-0.139392413551563,"advanc"
"cyber",-0.144030491661004,"cyber"
"languag",-0.14833927750959,"languag"
"drop",-0.149684806088257,"drop"
"respons",-0.149811298461747,"respons"
"russian",-0.150828760235126,"russian"
"loop",-0.152223863816955,"loop"
"produc",-0.152711872179002,"produc"
"author",-0.153647735504965,"author"
"extrem",-0.156998239301726,"extrem"
"complex",-0.161155362063722,"complex"
"item",-0.162664866376617,"item"
"exact",-0.163498856075952,"exact"
"regard",-0.164182015863871,"regard"
"prevent",-0.167036415949051,"prevent"
"exclus",-0.167272092805626,"exclus"
"member",-0.167732594711898,"member"
"human",-0.171090475144168,"human"
"expos",-0.172340096664351,"expos"
"fairli",-0.172400303528385,"fairli"
"pack",-0.175312066689016,"pack"
"logic",-0.17884371672083,"logic"
"appreci",-0.179085437225921,"appreci"
"convert",-0.183950791546806,"convert"
"degre",-0.18608391212812,"degre"
"concern",-0.189002812632405,"concern"
"form",-0.189527567273561,"form"
"pro",-0.190302383060262,"pro"
"quickli",-0.190528995040269,"quickli"
"unit",-0.194089529828728,"unit"
"vote",-0.19427110784956,"vote"
"declar",-0.194977540574797,"declar"
"idea",-0.195020495163667,"idea"
"remain",-0.196590388484093,"remain"
"chanc",-0.197808982358503,"chanc"
"matter",-0.199838459672729,"matter"
"zero",-0.2015627025844,"zero"
"treat",-0.206452706013457,"treat"
"directori",-0.206836269869343,"directori"
"map",-0.206910669138366,"map"
"certainli",-0.207023395316951,"certainli"
"photo",-0.207162054123336,"photo"
"strong",-0.20838943935246,"strong"
"review",-0.211872356671325,"review"
"visual",-0.216570959436623,"visual"
"contact",-0.217534241455528,"contact"
"termin",-0.218751849365759,"termin"
"expens",-0.219193822517953,"expens"
"encod",-0.221247162506279,"encod"
"profession",-0.223142742348585,"profession"
"equal",-0.225398642787909,"equal"
"appar",-0.226020047827355,"appar"
"dynam",-0.22764403428694,"dynam"
"api",-0.228848904492117,"api"
"touch",-0.229880622836033,"touch"
"trust",-0.231308428324258,"trust"
"power",-0.231655999897111,"power"
"boot",-0.231681049803767,"boot"
"credenti",-0.232029293758015,"credenti"
"event",-0.234234957486231,"event"
"reli",-0.234394283549901,"reli"
"achiev",-0.235448836490767,"achiev"
"byte",-0.23678946448593,"byte"
"maintain",-0.236869850956414,"maintain"
"deep",-0.237323437016115,"deep"
"surpris",-0.238182152365632,"surpris"
"assign",-0.239608036947988,"assign"
"job",-0.243663294154737,"job"
"obviou",-0.244295667519008,"obviou"
"extend",-0.244867007820246,"extend"
"serv",-0.245445676267726,"serv"
"experi",-0.246152892901414,"experi"
"fill",-0.250095943607609,"fill"
"net",-0.250159176289616,"net"
"instruct",-0.250242749352314,"instruct"
"sell",-0.251631313000588,"sell"
"repli",-0.254766923675092,"repli"
"walk",-0.261276166928006,"walk"
"admin",-0.267150097057475,"admin"
"folder",-0.269962197324341,"folder"
"thousand",-0.272657774868428,"thousand"
"extens",-0.273208837647195,"extens"
"folk",-0.273694629731483,"folk"
"interfac",-0.275526295209004,"interfac"
"perfectli",-0.275694563752201,"perfectli"
"locat",-0.275760290884187,"locat"
"blog",-0.277829084259738,"blog"
"broken",-0.2797377838512,"broken"
"infect",-0.282858377299036,"infect"
"grab",-0.282873678539628,"grab"
"serious",-0.283498562693838,"serious"
"field",-0.28358307854969,"field"
"certif",-0.285671222832834,"certif"
"firewal",-0.287027443555512,"firewal"
"dump",-0.287091193506471,"dump"
"clearli",-0.290052588130758,"clearli"
"speak",-0.290540904892895,"speak"
"nativ",-0.290740476740601,"nativ"
"massiv",-0.291270916892598,"massiv"
"print",-0.294090490167641,"print"
"combin",-0.295205349348616,"combin"
"display",-0.298950767262019,"display"
"input",-0.300855691091539,"input"
"corpor",-0.301377591090645,"corpor"
"challeng",-0.305430937840658,"challeng"
"chrome",-0.30716453783276,"chrome"
"weird",-0.307957998213443,"weird"
"competit",-0.30968322913967,"competit"
"associ",-0.311202199351571,"associ"
"phone",-0.311226998582776,"phone"
"queri",-0.312896032251898,"queri"
"seriou",-0.313075358153659,"seriou"
"reduc",-0.313799283609872,"reduc"
"null",-0.315166556799146,"null"
"repres",-0.317285066128006,"repres"
"parent",-0.319594166825709,"parent"
"visit",-0.321379316520575,"visit"
"task",-0.324707613219116,"task"
"order",-0.324732249362693,"order"
"excel",-0.325103139690383,"excel"
"fun",-0.328896653417787,"fun"
"attribut",-0.329663362498555,"attribut"
"proper",-0.329702806348655,"proper"
"algorithm",-0.333228853890475,"algorithm"
"fair",-0.337409090294095,"fair"
"deploy",-0.33903444405,"deploy"
"side",-0.339826119009649,"side"
"domain",-0.339900400191488,"domain"
"intend",-0.339921919325847,"intend"
"engin",-0.340152163740794,"engin"
"vpn",-0.34066974265658,"vpn"
"fight",-0.342393728536064,"fight"
"studi",-0.342831891108428,"studi"
"polit",-0.34435641978476,"polit"
"relev",-0.345898081973247,"relev"
"level",-0.347263553976614,"level"
"instagram",-0.347349902514719,"instagram"
"front",-0.34751420785509,"front"
"model",-0.348314760709709,"model"
"introduc",-0.348375592289988,"introduc"
"pattern",-0.349215898106674,"pattern"
"cheap",-0.349555364134649,"cheap"
"hidden",-0.351642156016033,"hidden"
"outsid",-0.352995066135339,"outsid"
"router",-0.353943178670389,"router"
"illeg",-0.355886097474858,"illeg"
"desktop",-0.356278438448595,"desktop"
"meet",-0.356372857393414,"meet"
"imposs",-0.35762081476868,"imposs"
"databas",-0.357721626091543,"databas"
"fake",-0.359231671964705,"fake"
"constant",-0.35942120202173,"constant"
"space",-0.359871369924279,"space"
"nearli",-0.360269990011638,"nearli"
"complic",-0.36027879309707,"complic"
"resolv",-0.36034841080542,"resolv"
"occur",-0.360444749960675,"occur"
"indic",-0.361251987977382,"indic"
"straight",-0.36314901875288,"straight"
"suppli",-0.368136694198098,"suppli"
"filter",-0.369673624900207,"filter"
"twitter",-0.370928648120268,"twitter"
"slightli",-0.373805431105348,"slightli"
"kindl",-0.37430448509126,"kindl"
"mac",-0.374984359554219,"mac"
"usernam",-0.375074059254968,"usernam"
"funni",-0.376526464357921,"funni"
"insert",-0.378777855976401,"insert"
"group",-0.379544864924373,"group"
"modul",-0.379898268116065,"modul"
"tend",-0.382744872138702,"tend"
"distro",-0.383329691399147,"distro"
"pentest",-0.386653673629066,"pentest"
"licens",-0.386843869964826,"licens"
"protest",-0.387367178430832,"protest"
"capabl",-0.387368014790442,"capabl"
"gnome",-0.388839304441536,"gnome"
"dead",-0.392431569594735,"dead"
"token",-0.393617692984177,"token"
"appropri",-0.395502741650059,"appropri"
"discuss",-0.396065240959898,"discuss"
"student",-0.398098712381594,"student"
"tune",-0.400002736128772,"tune"
"cost",-0.400099328170298,"cost"
"decent",-0.40112773474845,"decent"
"ran",-0.40188637460973,"ran"
"java",-0.401921571118682,"java"
"roll",-0.405145797758386,"roll"
"crazi",-0.408126753971789,"crazi"
"stick",-0.409220986712157,"stick"
"distribut",-0.409517026030522,"distribut"
"magic",-0.40974993608163,"magic"
"explicitli",-0.409847978067114,"explicitli"
"vendor",-0.411967293464072,"vendor"
"familiar",-0.412144863258853,"familiar"
"welcom",-0.413030747676577,"welcom"
"regist",-0.414327970808692,"regist"
"gain",-0.415311764266113,"gain"
"focus",-0.41695011407912,"focus"
"trick",-0.417059795078796,"trick"
"effici",-0.417996954497982,"effici"
"pictur",-0.418872058675912,"pictur"
"default",-0.419003210524056,"default"
"iter",-0.419398755751412,"iter"
"defac",-0.421770435632846,"defac"
"tech",-0.421843227752559,"tech"
"victim",-0.422301698287078,"victim"
"festiv",-0.42581217142405,"festiv"
"prove",-0.425822370662868,"prove"
"lower",-0.426348496312531,"lower"
"subject",-0.426958707576022,"subject"
"node",-0.42907589749472,"node"
"fall",-0.429418530464035,"fall"
"reset",-0.429525927319963,"reset"
"permiss",-0.432850910789956,"permiss"
"verifi",-0.433315799302207,"verifi"
"submit",-0.436296701387122,"submit"
"sourc",-0.438495423373016,"sourc"
"hide",-0.43940114528111,"hide"
"express",-0.440122265257248,"express"
"sit",-0.440344369173717,"sit"
"breach",-0.441005493168325,"breach"
"die",-0.441919948483204,"die"
"obtain",-0.442981494051804,"obtain"
"debian",-0.443128067986028,"debian"
"pars",-0.443986426107453,"pars"
"determin",-0.445065788956828,"determin"
"optim",-0.445795858425451,"optim"
"mark",-0.446768202759327,"mark"
"equival",-0.447915704548055,"equival"
"solid",-0.449511561949653,"solid"
"carri",-0.449566242816498,"carri"
"reveal",-0.449910507073644,"reveal"
"pen",-0.450692883313405,"pen"
"respect",-0.4519905123703,"respect"
"polic",-0.452015570281891,"polic"
"stuck",-0.452335688783889,"stuck"
"ipad",-0.452852652215824,"ipad"
"tutori",-0.453636506125217,"tutori"
"arrest",-0.454617700852373,"arrest"
"will",-0.455162436574787,"will"
"cach",-0.457522311972381,"cach"
"interact",-0.458012086441956,"interact"
"path",-0.459021918757847,"path"
"autom",-0.45939350879812,"autom"
"award",-0.460319732113039,"award"
"count",-0.460324191036771,"count"
"fresh",-0.461339580943355,"fresh"
"london",-0.461425252734055,"london"
"graphic",-0.462214634424298,"graphic"
"usa",-0.462492977715634,"usa"
"paypal",-0.462537392315493,"paypal"
"malwar",-0.462616991028761,"malwar"
"suck",-0.462704246435234,"suck"
"kick",-0.463166081805918,"kick"
"inspir",-0.463652895853135,"inspir"
"redirect",-0.465202733767129,"redirect"
"platform",-0.467403664902421,"platform"
"middl",-0.469451406536599,"middl"
"monitor",-0.47051889399952,"monitor"
"senior",-0.47051889399952,"senior"
"sensit",-0.471406586730149,"sensit"
"signal",-0.472669120089597,"signal"
"confirm",-0.472868772060065,"confirm"
"wear",-0.473036084865595,"wear"
"hire",-0.473896316666732,"hire"
"sponsor",-0.477098608333626,"sponsor"
"condit",-0.478205009740638,"condit"
"travel",-0.47836177924772,"travel"
"attach",-0.478523130633064,"attach"
"cloud",-0.478863196310064,"cloud"
"firefox",-0.480124530408695,"firefox"
"date",-0.480256770197062,"date"
"necessarili",-0.480522803220054,"necessarili"
"merg",-0.481333388704114,"merg"
"primari",-0.482362379699857,"primari"
"steal",-0.48245360371239,"steal"
"techniqu",-0.484241209666942,"techniqu"
"hate",-0.485019291830946,"hate"
"concept",-0.485330644910406,"concept"
"regardless",-0.48572549566024,"regardless"
"gear",-0.486318712230179,"gear"
"packet",-0.486675474407505,"packet"
"root",-0.487395723014427,"root"
"wrap",-0.487532015423148,"wrap"
"nsa",-0.487928668411315,"nsa"
"annoy",-0.488008569425184,"annoy"
"poor",-0.488714116214641,"poor"
"dictionari",-0.488741451551717,"dictionari"
"sql",-0.489403199630261,"sql"
"backup",-0.489627391725321,"backup"
"prepar",-0.491083885382067,"prepar"
"previous",-0.491225821665874,"previous"
"tree",-0.491418100844524,"tree"
"login",-0.494371080639532,"login"
"rais",-0.497735713659164,"rais"
"instanc",-0.498895815427013,"instanc"
"twice",-0.499148299517046,"twice"
"stolen",-0.499209502160306,"stolen"
"crimin",-0.502124923719313,"crimin"
"revers",-0.502708008031115,"revers"
"compon",-0.505944135206441,"compon"
"hamper",-0.506070380539632,"hamper"
"setup",-0.50760255467826,"setup"
"own",-0.507702118866167,"own"
"catch",-0.508283690938368,"catch"
"odd",-0.508310183804013,"odd"
"protocol",-0.510440059120874,"protocol"
"chines",-0.511109914541115,"chines"
"averag",-0.514621990597629,"averag"
"wifi",-0.518735256499274,"wifi"
"goal",-0.519210797207993,"goal"
"stack",-0.520347530507728,"stack"
"dedic",-0.522208433504716,"dedic"
"charg",-0.522599955277262,"charg"
"accomplish",-0.522979412911948,"accomplish"
"independ",-0.524348120087927,"independ"
"html",-0.526112663383822,"html"
"insid",-0.526544080318974,"insid"
"reliabl",-0.52685463192365,"reliabl"
"nest",-0.530062058379361,"nest"
"truli",-0.530198021445722,"truli"
"danger",-0.530233853789411,"danger"
"teach",-0.530945599001046,"teach"
"bash",-0.532381990947802,"bash"
"vip",-0.533017337979582,"vip"
"neg",-0.53507343018746,"neg"
"integr",-0.535846959296892,"integr"
"imagin",-0.536189738179261,"imagin"
"lack",-0.536265250349928,"lack"
"pop",-0.536564586785037,"pop"
"channel",-0.537072613242588,"channel"
"employe",-0.539350911306724,"employe"
"cours",-0.539367363004107,"cours"
"militari",-0.539532119876477,"militari"
"proxi",-0.540089918093934,"proxi"
"stream",-0.540429910403854,"stream"
"restrict",-0.540648046851166,"restrict"
"shut",-0.541782117433619,"shut"
"pointer",-0.543444346514455,"pointer"
"master",-0.543947183051769,"master"
"sampl",-0.545437723210259,"sampl"
"crack",-0.545760071763638,"crack"
"signific",-0.545808124509736,"signific"
"context",-0.546114321898663,"context"
"financi",-0.546237703322746,"financi"
"deserv",-0.547852293119553,"deserv"
"unknown",-0.548922003255411,"unknown"
"kit",-0.551864342581693,"kit"
"statement",-0.552247530700948,"statement"
"round",-0.553320787744792,"round"
"semant",-0.55430831859778,"semant"
"profil",-0.555245835123413,"profil"
"header",-0.555453040376892,"header"
"weak",-0.555512848652859,"weak"
"feder",-0.557327908829558,"feder"
"terribl",-0.55737077480073,"terribl"
"suspect",-0.557799901097784,"suspect"
