"","terms","apmis"
"collect","collect",1616.89392485237
"click","click",1616.16119467312
"challeng","challeng",1612.49622528695
"consid","consid",1609.73831488828
"accident","accident",1609.02914958551
"charact","charact",1591.63004531586
"clearli","clearli",1578.45402259189
"backup","backup",1574.66250798865
"command","command",1566.11391398023
"adapt","adapt",1559.32445362815
"advis","advis",1552.12637051396
"complex","complex",1540.78104335669
"boot","boot",1533.65061986229
"cert","cert",1531.45295135648
"argu","argu",1526.25207080059
"attribut","attribut",1514.0934864904
"arrest","arrest",1506.80866169349
"amount","amount",1503.36302959617
"aspect","aspect",1495.17716730117
"amazon","amazon",1494.62730039034
"advantag","advantag",1494.59476522285
"combin","combin",1489.27652163138
"connect","connect",1477.04889014123
"assembl","assembl",1473.61510197836
"certif","certif",1471.20708248382
"carri","carri",1456.64742275503
"concern","concern",1456.24682256954
"arbitrari","arbitrari",1451.43937755141
"cach","cach",1434.76046747898
"advertis","advertis",1429.03907838694
"alloc","alloc",1420.14520135779
"branch","branch",1417.1540760182
"content","content",1413.97906770538
"control","control",1395.7592986223
"archiv","archiv",1373.01091608881
"configur","configur",1372.39849568631
"blog","blog",1367.11779753462
"cheap","cheap",1367.0691198455
"cool","cool",1363.90522606412
"admit","admit",1354.05913630843
"articl","articl",1352.46009801059
"byte","byte",1349.59590832426
"bash","bash",1343.43313173989
"contain","contain",1342.13344808465
"channel","channel",1338.21867911434
"copi","copi",1332.07362094364
"adjust","adjust",1332.06563222535
"bank","bank",1326.02217863401
"bare","bare",1322.40302375111
"complic","complic",1322.0373010481
"compromis","compromis",1313.7051246946
"catch","catch",1306.84864773196
"arriv","arriv",1303.53596862635
"correct","correct",1302.95702940977
"breach","breach",1301.89722724346
"confus","confus",1300.7850482939
"deal","deal",1297.99512539413
"cloud","cloud",1297.44911406766
"cover","cover",1291.32547591364
"bundl","bundl",1290.36304667864
"chanc","chanc",1287.71627058698
"brows","brows",1286.95182931164
"corpor","corpor",1284.14874472296
"creat","creat",1275.44212112561
"compil","compil",1275.2076722197
"authent","authent",1273.03120768495
"caught","caught",1271.71414567227
"decid","decid",1261.79611382789
"anim","anim",1256.33573971929
"captur","captur",1247.48793112988
"calcul","calcul",1244.31985930906
"compon","compon",1241.5991618376
"correctli","correctli",1241.41959535727
"custom","custom",1240.85275563736
"chrome","chrome",1231.01903369833
"bind","bind",1227.53296157033
"broke","broke",1225.3650290766
"commerci","commerci",1223.6712415267
"critic","critic",1215.56309540811
"charg","charg",1214.05406892281
"concept","concept",1212.02220366519
"comfort","comfort",1205.40453483427
"approv","approv",1203.03064015805
"definit","definit",1197.97292851079
"cisco","cisco",1191.96760813857
"chines","chines",1189.90475034644
"audio","audio",1189.67087647152
"commit","commit",1189.27062182236
"camera","camera",1181.55174119079
"append","append",1177.35194419801
"contact","contact",1173.79157512471
"button","button",1160.19904622058
"bio","bio",1150.21618727473
"attend","attend",1146.78315839843
"condit","condit",1146.52963571071
"cost","cost",1143.31293221381
"confirm","confirm",1132.63469449447
"constant","constant",1129.92512757114
"convert","convert",1119.81891151881
"cabl","cabl",1115.46624950578
"decent","decent",1099.82651431199
"deep","deep",1096.02410263329
"design","design",1094.77274028027
"dedic","dedic",1093.50710543673
"award","award",1093.26713008676
"compet","compet",1086.75731654025
"complain","complain",1082.68029710633
"core","core",1082.06190100091
"brand","brand",1078.28724331889
"cyber","cyber",1077.30638790995
"crazi","crazi",1076.02433750665
"count","count",1073.38907354178
"contribut","contribut",1066.78657122137
"dead","dead",1059.04274143504
"danger","danger",1037.18892336815
"crack","crack",1035.72439679867
"bar","bar",1031.73793013592
"depend","depend",1031.53303913718
"config","config",1029.34452726215
"crimin","crimin",1028.87681753981
"describ","describ",1027.34091409474
"context","context",1020.46736318072
"crash","crash",1020.44427928805
"bitcoin","bitcoin",1012.07677469839
"chat","chat",1008.74553033511
"competit","competit",1008.7353650432
"corrupt","corrupt",1003.74483456347
"compat","compat",1002.20228448139
"convers","convers",987.544949488147
"difficult","difficult",981.915898602119
"deliv","deliv",974.396390685619
"cours","cours",966.471297818861
"desktop","desktop",964.420481598076
"detect","detect",961.411047079233
"determin","determin",961.066419269698
"clone","clone",958.138455184781
"demonstr","demonstr",957.782757901908
"detail","detail",955.296135980991
"default","default",952.978748371713
"cpu","cpu",951.559458434024
"deploy","deploy",944.625233306797
"die","die",938.914921541001
"dark","dark",936.051888102931
"chip","chip",931.682791735013
"develop","develop",922.60555688299
"direct","direct",922.495335990285
"conflict","conflict",918.133090936865
"defend","defend",917.45639043233
"column","column",911.020244881614
"convinc","convinc",910.964562164327
"credenti","credenti",909.798871478189
"digit","digit",906.36878194738
"discuss","discuss",904.435875648785
"date","date",901.825889765322
"data","data",901.460412646881
"debian","debian",898.635041743011
"databas","databas",896.830626020129
"defin","defin",894.741913769004
"consol","consol",894.053033049911
"document","document",893.710550831079
"demand","demand",887.81280653681
"desir","desir",887.119389939537
"construct","construct",886.305350751229
"contest","contest",886.047492862927
"correspond","correspond",879.727711284309
"drop","drop",868.918299229978
"due","due",868.353226636939
"destroy","destroy",868.182506347384
"debug","debug",863.920358335335
"canada","canada",859.381277296785
"doubl","doubl",852.363907367966
"declar","declar",845.150532384074
"creativ","creativ",842.976405225164
"directli","directli",842.388123747374
"degre","degre",840.770762722658
"brilliant","brilliant",835.422010639049
"disagre","disagre",834.689725847784
"delet","delet",830.69952743161
"cryptograph","cryptograph",817.51367456456
"decrypt","decrypt",815.521138837046
"display","display",810.572337059743
"educ","educ",809.284848410998
"deserv","deserv",805.533003600855
"disabl","disabl",800.607913964284
"effect","effect",797.063672566285
"dumb","dumb",796.204439264198
"drive","drive",792.063124497656
"distribut","distribut",790.493450443114
"engag","engag",790.114194009818
"dollar","dollar",780.894491466348
"deriv","deriv",776.80214840278
"encount","encount",763.551207760569
"css","css",759.773109644874
"encourag","encourag",758.655209663792
"anniversari","anniversari",757.508595631166
"domain","domain",755.852349557023
"discov","discov",749.219419359933
"employ","employ",745.243119608995
"earn","earn",741.952136123146
"either","either",741.000424345919
"engin","engin",740.989615741428
"door","door",736.292338952657
"effici","effici",733.929992575955
"excel","excel",727.729801566018
"edit","edit",725.832550954056
"establish","establish",707.500494356361
"dual","dual",702.733424408021
"employe","employe",702.542336911747
"evil","evil",700.943223617097
"easili","easili",697.283567160007
"disclos","disclos",692.728893675646
"excit","excit",690.009948506814
"disk","disk",688.337617542594
"essenti","essenti",686.176336622748
"ethic","ethic",685.591725973814
"electron","electron",684.896789797791
"download","download",681.103866114714
"devic","devic",679.097121781633
"distro","distro",672.16475075219
"equival","equival",663.965612628106
"dynam","dynam",662.855871094345
"experienc","experienc",661.957282587504
"embed","embed",660.061558998827
"dictionari","dictionari",658.913767248939
"directori","directori",656.855536944372
"differ","differ",650.480061672051
"especi","especi",650.331990678555
"enterpris","enterpris",648.094834742062
"exclus","exclus",647.488742773862
"donat","donat",646.988019707027
"event","event",646.132384510282
"experi","experi",640.205614558298
"evalu","evalu",640.11073423122
"environ","environ",638.035592441335
"expand","expand",633.602092125059
"empti","empti",623.380482498061
"expens","expens",620.326033984102
"exampl","exampl",613.916084761895
"duplic","duplic",612.977761238319
"explor","explor",602.101356711138
"echo","echo",598.603484093162
"fight","fight",598.189534654838
"exact","exact",597.447641512159
"exam","exam",597.324531069587
"entir","entir",593.92211597791
"enabl","enabl",593.375670886529
"fall","fall",591.709756163351
"equal","equal",591.616457038235
"feed","feed",590.023072468016
"escap","escap",587.859967789526
"expert","expert",585.758824244856
"fair","fair",584.248377785474
"familiar","familiar",580.949643862697
"extrem","extrem",575.627594325965
"eleg","eleg",572.959585655272
"folk","folk",556.218196385721
"dvd","dvd",554.497172909512
"error","error",550.108412685546
"extend","extend",544.421556057382
"express","express",537.762177195272
"extens","extens",532.268673184251
"figur","figur",527.558955507435
"focu","focu",527.125992890497
"entri","entri",525.458551567613
"explicit","explicit",517.080086877031
"fedora","fedora",514.798999445548
"flat","flat",514.784543919384
"explain","explain",510.544310918817
"februari","februari",508.674045262861
"ebook","ebook",500.159205882063
"extra","extra",499.368904956316
"forev","forev",498.752136654296
"fbi","fbi",495.776516013872
"feder","feder",493.792826743209
"former","former",491.568642080266
"front","front",490.147423602277
"exactli","exactli",487.723629794095
"dump","dump",485.737047625885
"flag","flag",480.596990562815
"fill","fill",479.485783363413
"fals","fals",478.760004688879
"defac","defac",478.386089141277
"expos","expos",477.676860334054
"fun","fun",474.492558184202
"fake","fake",473.267946431661
"hang","hang",471.887600616512
"foreign","foreign",467.291095756269
"extern","extern",466.455031435242
"encod","encod",465.760727814414
"flexibl","flexibl",462.730984181825
"flash","flash",457.493043194534
"festiv","festiv",455.365364338237
"fairli","fairli",454.978926807187
"extract","extract",451.219607259283
"focus","focus",448.436710780392
"explicitli","explicitli",442.160113996709
"finish","finish",438.175143882258
"fund","fund",436.3347597531
"giant","giant",435.483486711888
"goal","goal",432.07118634123
"flask","flask",428.366594370803
"financi","financi",426.537886784667
"facebook","facebook",423.448836929644
"funni","funni",419.267293571861
"filter","filter",417.73329683802
"forum","forum",416.859897885927
"hate","hate",415.119437263075
"fresh","fresh",414.87560663401
"font","font",412.944132911693
"element","element",411.485537566811
"github","github",411.300200755903
"frequent","frequent",410.778563855533
"gather","gather",403.024649013016
"field","field",394.034711182976
"grand","grand",392.273262793732
"guarante","guarante",389.267185388711
"horribl","horribl",384.889694772142
"grant","grant",380.198151605704
"framework","framework",378.363502998396
"gmail","gmail",376.854155749426
"gear","gear",374.796364772062
"flaw","flaw",369.459641670475
"float","float",368.17323185297
"fundament","fundament",363.981067841608
"hook","hook",363.646152977941
"honest","honest",353.617184629427
"fail","fail",352.34288751711
"forc","forc",350.713571838045
"firefox","firefox",343.644513910512
"headphon","headphon",343.519560106978
"fuck","fuck",334.895379107976
"forward","forward",333.220503053056
"final","final",326.182787455605
"firewal","firewal",320.483151052539
"hardwar","hardwar",316.318970260771
"impact","impact",314.340143899451
"impress","impress",313.767200239259
"exist","exist",304.375329632575
"harder","harder",301.833641231634
"grab","grab",300.390349942493
"inspir","inspir",299.806206469213
"impli","impli",298.713155506571
"icon","icon",295.759517924838
"form","form",294.613546213416
"indian","indian",286.077409491064
"gnome","gnome",283.329696072321
"imagin","imagin",280.404155120741
"inherit","inherit",279.892566894718
"hamper","hamper",279.886123382775
"execut","execut",277.626429191054
"fulli","fulli",273.322226866051
"interview","interview",269.475943334148
"graphic","graphic",268.216214782879
"ideal","ideal",267.522918022067
"group","group",266.469097069865
"futur","futur",265.366482824063
"ident","ident",264.227331034875
"featur","featur",259.731185549262
"infosec","infosec",255.603860362493
"gain","gain",250.775838192928
"lazi","lazi",246.186265474329
"header","header",239.555416695827
"kick","kick",236.552272825412
"govern","govern",235.691964138382
"jump","jump",234.825872805128
"email","email",222.575064950284
"enter","enter",219.488824763401
"invest","invest",219.077926292304
"januari","januari",217.903487361287
"invit","invit",210.949474644512
"exploit","exploit",209.250989518134
"luck","luck",207.286094613575
"index","index",205.133284354926
"hide","hide",197.465648528373
"nail","nail",194.444705982745
"hire","hire",191.597457955559
"iphon","iphon",188.701940475411
"label","label",185.565269413168
"inform","inform",184.096419875793
"kde","kde",179.637887582135
"independ","independ",179.278642907674
"hand","hand",175.843443185338
"integ","integ",168.886989326259
"invalid","invalid",168.121333902802
"insid","insid",161.330712427689
"itun","itun",150.894149013299
"invok","invok",149.930556429658
"idea","idea",148.097535339198
"ipad","ipad",145.662269866587
"insert","insert",143.012742029062
"letter","letter",141.579113684821
"kit","kit",132.7312678557
"human","human",131.235819564623
"length","length",128.826025155302
"friend","friend",128.250680707348
"html","html",127.408816604965
"interpret","interpret",124.135351086472
"intent","intent",119.048862508317
"hidden","hidden",118.398601647658
"global","global",117.89005123406
"isp","isp",111.39508261001
"forens","forens",111.288953667354
"kali","kali",106.128034252637
"format","format",102.625585634216
"layer","layer",98.4003806412893
"illeg","illeg",96.557421461189
"inject","inject",96.4935781082491
"kind","kind",93.0520957445895
"maximum","maximum",92.7365690667628
"rose","rose",92.2223049645584
"lab","lab",88.6154940585112
"folder","folder",88.5854905400205
"instagram","instagram",85.2506012898285
"encrypt","encrypt",82.8939049966452
"indic","indic",80.6233396175214
"fix","fix",80.0025139507694
"integr","integr",79.5035028040898
"novel","novel",77.0422103042195
"mere","mere",72.6346230910035
"instanc","instanc",68.0925754770333
"interact","interact",65.5308128466808
"introduc","introduc",47.365187672083
"game","game",45.3513272528666
"law","law",42.820613149315
"london","london",41.5536042976294
"iter","iter",32.3522019996503
"imposs","imposs",31.7854130235286
"race","race",26.9770750685487
"market","market",20.6759121984691
"info","info",13.7574597727086
"hit","hit",10.9435021586459
"javascript","javascript",10.149662863634
"ignor","ignor",1.46151941253054
"magic","magic",0.267510568428381
"intend","intend",-0.468081391281693
"kill","kill",-0.615667653689081
"immedi","immedi",-8.68252258350909
"lack","lack",-14.8627813890721
"instruct","instruct",-26.4274228286078
"mode","mode",-28.9850641435552
"legitim","legitim",-29.3391190243608
"memori","memori",-29.3936651849913
"materi","materi",-30.8195553318187
"minimum","minimum",-34.6870068172251
"outdat","outdat",-41.4910012024971
"input","input",-45.9605983733165
"java","java",-49.2134373714105
"recip","recip",-50.9733910358665
"manufactur","manufactur",-55.9940539480917
"googl","googl",-57.7269956896846
"kindl","kindl",-61.596534099483
"identifi","identifi",-74.5771263096249
"improv","improv",-76.9879903509099
"ping","ping",-81.3383866772334
"item","item",-81.7799808993878
"high","high",-87.7827336719664
"minim","minim",-89.9016655752711
"opposit","opposit",-90.1422492630825
"notifi","notifi",-100.177924454283
"hope","hope",-102.211720818184
"interfac","interfac",-105.041770008746
"licens","licens",-107.458353664054
"mark","mark",-108.127749490536
"meet","meet",-118.939206243606
"job","job",-127.396121792313
"mainli","mainli",-136.138774993124
"imag","imag",-138.189497701511
"lower","lower",-138.290186699773
"pain","pain",-138.302740294213
"middl","middl",-138.854100770844
"individu","individu",-139.649108624224
"full","full",-139.75556034067
"host","host",-142.86940508964
"mess","mess",-144.046164913926
"oppos","oppos",-145.570214623671
"launch","launch",-149.944882368027
"plain","plain",-153.592380813934
"neg","neg",-153.689581207658
"measur","measur",-153.821697237384
"mistak","mistak",-157.561466571573
"player","player",-158.52350347754
"offlin","offlin",-161.48009669147
"huge","huge",-171.754818100087
"paypal","paypal",-172.338882971333
"refresh","refresh",-183.671569244536
"initi","initi",-187.545365331263
"find","find",-191.514078653772
"hash","hash",-196.083950186369
"persist","persist",-198.651608010242
"minor","minor",-199.287571308649
"odd","odd",-204.492851343345
"partial","partial",-207.841937082299
"nest","nest",-213.003841202603
"join","join",-215.076624988365
"snap","snap",-219.285801187746
"predict","predict",-222.963246224289
"kernel","kernel",-225.026462496573
"infect","infect",-228.716323455212
"master","master",-229.105808345023
"offic","offic",-232.101852643063
"visa","visa",-232.915680560377
"php","php",-233.922873215106
"mac","mac",-235.277184030425
"level","level",-240.301887963886
"sock","sock",-246.479440094873
"oscp","oscp",-247.498040140526
"node","node",-248.427706485693
"numer","numer",-250.790921705523
"press","press",-251.036166411238
"parent","parent",-263.412923466353
"function.","function.",-267.795847401349
"remind","remind",-275.52318313977
"git","git",-276.074521826371
"login","login",-280.776184341949
"internet","internet",-283.296508347225
"militari","militari",-293.048505840003
"handl","handl",-293.392141058264
"score","score",-296.111083401448
"recurs","recurs",-296.142625712795
"plenti","plenti",-299.553085375843
"merg","merg",-300.107450251344
"languag","languag",-303.19670479918
"nsa","nsa",-307.602995884519
"pop","pop",-308.359534615929
"prime","prime",-308.500835067098
"pack","pack",-317.020454078861
"soft","soft",-317.144794960182
"plugin","plugin",-323.483536179495
"ring","ring",-329.019198782197
"qualifi","qualifi",-329.551512449151
"rich","rich",-335.059379323687
"loop","loop",-340.958942385059
"promot","promot",-343.461630090546
"locat","locat",-343.844188487678
"necessarili","necessarili",-345.633620370352
"modul","modul",-347.708121681143
"shot","shot",-349.892080130121
"free","free",-350.052823332594
"pictur","pictur",-351.344405555275
"logic","logic",-351.600850087819
"hard","hard",-360.022736689511
"plug","plug",-361.321862382335
"legal","legal",-361.596142008302
"ram","ram",-362.863812437666
"null","null",-364.232876813365
"involv","involv",-364.493968145359
"spot","spot",-368.394459463599
"promis","promis",-372.659380024846
"lead","lead",-374.802730584775
"pen","pen",-379.245334865667
"natur","natur",-383.224498436114
"map","map",-383.761472492944
"massiv","massiv",-384.938246598494
"order","order",-385.605080536329
"malwar","malwar",-391.415401313642
"propos","propos",-392.632507392631
"model","model",-392.759957233645
"liter","liter",-398.725960411191
"overal","overal",-400.123662362609
"monitor","monitor",-410.007686099879
"maintain","maintain",-410.358862888882
"reboot","reboot",-410.430442408186
"randomli","randomli",-415.253461206472
"readabl","readabl",-417.35465655841
"matter","matter",-428.436424213756
"west","west",-430.177897356185
"polici","polici",-434.546102109737
"net","net",-436.199352722957
"surviv","surviv",-438.993907991325
"photo","photo",-441.474630858894
"line","line",-443.974030835987
"nearli","nearli",-446.767247576102
"reflect","reflect",-447.703795705012
"nativ","nativ",-454.724983662414
"wow","wow",-456.533305455426
"ridicul","ridicul",-458.065688981985
"gener","gener",-459.955607308052
"own","own",-461.723888333523
"import","import",-462.230376826074
"tire","tire",-462.978439556174
"prompt","prompt",-463.548555760717
"optim","optim",-467.335555202448
"reader","reader",-468.076739948088
"refus","refus",-469.397582674556
"upcom","upcom",-472.5725931537
"pointer","pointer",-476.552676446982
"screenshot","screenshot",-476.766550344655
"packet","packet",-481.939933233732
"referenc","referenc",-483.374168073012
"particularli","particularli",-485.336438635118
"path","path",-486.216035096582
"laptop","laptop",-489.112852631362
"member","member",-495.340146128887
"implement","implement",-496.162719923623
"pars","pars",-500.540160319935
"publicli","publicli",-505.442929827079
"purchas","purchas",-508.381491969313
"poor","poor",-509.398668652167
"perfectli","perfectli",-512.935473508993
"pure","pure",-513.233906761317
"file","file",-524.232186647424
"match","match",-524.729688759151
"protest","protest",-529.071465879908
"privileg","privileg",-530.293174510634
"scope","scope",-533.951507557914
"rid","rid",-534.642352891168
"prior","prior",-535.573899096956
"stori","stori",-535.995321447371
"print","print",-536.17292588693
"silli","silli",-537.587913860164
"intern","intern",-537.916087937789
"obviou","obviou",-544.242497109049
"machin","machin",-544.253578321726
"proprietari","proprietari",-544.477621228338
"vip","vip",-546.665208605993
"restart","restart",-548.704337375641
"prepar","prepar",-552.362861421175
"recov","recov",-555.850916167015
"profil","profil",-560.062107795752
"session","session",-562.184437668244
"permiss","permiss",-562.188049740167
"sponsor","sponsor",-564.781493511964
"limit","limit",-571.016823140211
"phish","phish",-575.747061699494
"hack","hack",-580.646166532592
"resid","resid",-581.774015102504
"outsid","outsid",-584.171697473892
"theme","theme",-586.708089801127
"hacker","hacker",-588.534904937597
"tough","tough",-589.691634030557
"retriev","retriev",-592.13916314948
"ugli","ugli",-594.931901440381
"proxi","proxi",-599.069619020314
"wear","wear",-602.140476271724
"repeat.","repeat.",-606.121876422557
"programm","programm",-607.153169777278
"strict","strict",-617.86839989182
"nation","nation",-617.973878451372
"lock","lock",-621.468409520218
"render","render",-625.483081617334
"round","round",-625.903414718433
"occur","occur",-626.731984384439
"skip","skip",-628.326541762698
"polit","polit",-631.6370011228
"platform","platform",-636.22624615107
"load","load",-637.724863961823
"split","split",-646.906057766427
"struggl","struggl",-647.666988367242
"raw","raw",-651.414086426325
"pattern","pattern",-651.885842822298
"primari","primari",-659.21777162109
"scenario","scenario",-662.168941445643
"shell","shell",-663.290419192403
"obtain","obtain",-663.307251681655
"rais","rais",-663.810405870014
"modern","modern",-664.375574638933
"interest","interest",-666.138649849641
"subscrib","subscrib",-667.488669638907
"major","major",-671.347945549055
"pair","pair",-677.958324259891
"pentest","pentest",-679.286986482936
"previous","previous",-683.175119196557
"pro","pro",-684.516845634534
"repositori","repositori",-686.619111060626
"recogn","recogn",-691.219520655215
"serial","serial",-699.144143624365
"polic","polic",-706.554528456855
"paid","paid",-708.41672690818
"sampl","sampl",-708.835248461321
"perfect","perfect",-709.195979032026
"sync","sync",-711.091327079488
"symbol","symbol",-713.546674198661
"undefin","undefin",-714.342083080036
"minut","minut",-715.407472231652
"signatur","signatur",-718.570019364213
"paramet","paramet",-727.199101469441
"librari","librari",-729.784211743532
"mobil","mobil",-733.439406929269
"screw","screw",-736.131406901312
"restor","restor",-752.945177748195
"necessari","necessari",-762.933944224264
"scale","scale",-766.419755424612
"redirect","redirect",-768.402880539039
"manual","manual",-769.006157676795
"note","note",-769.701817748108
"sysadmin","sysadmin",-770.228759987683
"list","list",-782.99580528542
"ship","ship",-784.839622518671
"prove","prove",-793.010523863866
"temporari","temporari",-799.833888283857
"phone","phone",-801.415098682712
"ran","ran",-802.528456120299
"wall","wall",-806.117980465051
"syntax","syntax",-807.726627460173
"modifi","modifi",-807.778044645286
"risk","risk",-808.068068472051
"pin","pin",-811.805165823747
"notic","notic",-814.00046665863
"protocol","protocol",-815.46363659522
"translat","translat",-818.904718112879
"unlock","unlock",-826.061023661569
"ssh","ssh",-826.108643448162
"usabl","usabl",-829.939073526711
"roll","roll",-832.971451699016
"mostli","mostli",-837.949664386354
"media","media",-839.190362741328
"reliabl","reliabl",-840.059257614884
"issu","issu",-840.093189461474
"respond","respond",-841.368224537353
"strongli","strongli",-847.423957512001
"offici","offici",-854.610358615946
"packag","packag",-857.927828172407
"repli","repli",-859.027903159118
"queri","queri",-859.859855799346
"wikileak","wikileak",-860.039447203625
"live","live",-860.891648392959
"titl","titl",-862.919434054791
"usa","usa",-863.206828493155
"strang","strang",-863.516450581349
"produc","produc",-863.808603583409
"semant","semant",-865.830634044651
"senior","senior",-866.459938567915
"templat","templat",-867.823294615511
"tab","tab",-868.159193451906
"log","log",-874.838802701812
"speed","speed",-885.749112543374
"suffici","suffici",-892.166713237282
"mention","mention",-893.3282447074
"manag","manag",-894.952456317088
"suit","suit",-895.722948047981
"power","power",-896.635135945916
"organ","organ",-899.963959067722
"proper","proper",-904.74521361372
"revers","revers",-906.736033404686
"size","size",-908.582128798773
"instal","instal",-908.72449109132
"unnecessari","unnecessari",-912.226909065185
"messag","messag",-913.506877145399
"tune","tune",-918.35203725101
"travel","travel",-922.631073047
"regardless","regardless",-924.300660832055
"million","million",-925.094458616718
"main","main",-926.689393125833
"perhap","perhap",-931.419789298749
"theoret","theoret",-931.422752598354
"plan","plan",-933.607767066437
"regist","regist",-934.164754766358
"patch","patch",-940.968460522588
"underli","underli",-943.9424750155
"slower","slower",-946.07452336191
"stabl","stabl",-948.038336652332
"unabl","unabl",-948.856627774914
"wire","wire",-950.742394206012
"root","root",-951.224033389559
"pleas","pleas",-960.646927164094
"least","least",-962.022556638055
"suppli","suppli",-966.622639839327
"page","page",-967.244855248949
"stream","stream",-969.750209037337
"restrict","restrict",-971.358343242525
"reach","reach",-991.148100143621
"wild","wild",-993.929091434978
"reset","reset",-997.187266657544
"malici","malici",-999.05898699457
"vlan","vlan",-999.107999984419
"stack","stack",-1001.84956165269
"shut","shut",-1015.096578083
"quot","quot",-1016.66068256495
"unlik","unlik",-1020.88904140347
"suck","suck",-1021.2527826811
"sweep","sweep",-1022.9324768314
"visibl","visibl",-1024.3887280766
"statement","statement",-1027.49819398855
"russian","russian",-1030.67910946021
"link","link",-1031.60124628974
"month","month",-1034.07396348853
"miss","miss",-1038.21275970087
"situat","situat",-1041.2365854725
"spread","spread",-1045.69384825683
"respect","respect",-1050.26013093819
"microsoft","microsoft",-1057.43476762794
"left","left",-1058.98830922616
"tree","tree",-1060.14464048935
"sit","sit",-1060.7129884363
"port","port",-1061.68066100631
"posit","posit",-1062.86529860381
"solid","solid",-1064.65961381764
"space","space",-1069.89357656338
"past","past",-1070.21489883845
"key","key",-1077.80148427387
"signal","signal",-1077.99345258759
"vote","vote",-1079.25819590873
"unix","unix",-1079.752327905
"popular","popular",-1080.99785029987
"relev","relev",-1083.08421089039
"reveal","reveal",-1089.60122880333
"trivial","trivial",-1090.38571955953
"local","local",-1092.51034147574
"profession","profession",-1094.19566275346
"trigger","trigger",-1096.19418049476
"serious","serious",-1097.92288382016
"particular","particular",-1102.62059395856
"otherwis","otherwis",-1103.34185470178
"reduc","reduc",-1106.20319457237
"structur","structur",-1108.28167914563
"tweet","tweet",-1110.18528908691
"perform","perform",-1111.3573520997
"terribl","terribl",-1113.44389195918
"usag","usag",-1118.40236254293
"resolv","resolv",-1118.66058952474
"tradit","tradit",-1126.18714347121
"setup","setup",-1127.79498725079
"valuabl","valuabl",-1134.03741526123
"properti","properti",-1134.41141296637
"pay","pay",-1136.40334087627
"transfer","transfer",-1138.24323707354
"physic","physic",-1142.48552488154
"offer","offer",-1147.1927104818
"wrap","wrap",-1147.82250224564
"repres","repres",-1157.79635184259
"linux","linux",-1157.9943691647
"learn","learn",-1159.2766847543
"welcom","welcom",-1160.9720162541
"previou","previou",-1162.6783601556
"prevent","prevent",-1172.89066697134
"teach","teach",-1176.91057659901
"stuck","stuck",-1177.83793294892
"student","student",-1180.90064887213
"onlin","onlin",-1184.41586445724
"suspect","suspect",-1187.03835283056
"twice","twice",-1187.14388840215
"youtub","youtub",-1188.94314212047
"stick","stick",-1190.67199912296
"signific","signific",-1191.54845069898
"review","review",-1204.26505478501
"univers","univers",-1206.69102337402
"pull","pull",-1216.89512105672
"twitter","twitter",-1227.95166047968
