"","degree","frequency","ratio","terms"
"crimin",5102,996,1.67747909947433,"crimin"
"base",37022,7253,1.66606477297924,"base"
"argu",3742,735,1.65774049529494,"argu"
"configur",10060,1980,1.65122150987386,"configur"
"corpor",7132,1407,1.64374582254285,"corpor"
"attach",5267,1044,1.62867620018242,"attach"
"author",8766,1740,1.62421102205862,"author"
"compon",4947,982,1.62405175330626,"compon"
"approach",4419,880,1.61391752482359,"approach"
"contact",7978,1593,1.60545713757651,"contact"
"bug",10569,2116,1.59704148652444,"bug"
"cisco",3933,788,1.59472026337321,"cisco"
"certainli",8126,1629,1.59296877679579,"certainli"
"cloud",5187,1040,1.59244188311021,"cloud"
"built",10833,2175,1.58815169169667,"built"
"control",11560,2326,1.58135813761486,"control"
"articl",3157,636,1.57753499637793,"articl"
"cryptograph",2976,600,1.57511819879476,"cryptograph"
"archiv",3322,670,1.57398992627489,"archiv"
"demand",2805,566,1.57249154315811,"demand"
"alloc",3681,746,1.55893873052841,"alloc"
"averag",4796,972,1.55883795375157,"averag"
"dedic",4741,962,1.55513260645653,"dedic"
"certif",7023,1427,1.55087364906921,"certif"
"cpu",3371,687,1.54163078573664,"cpu"
"decrypt",3834,782,1.53909331329895,"decrypt"
"automat",14220,2903,1.53630116750614,"automat"
"concern",8125,1663,1.52834339883253,"concern"
"achiev",7631,1564,1.52419035306478,"achiev"
"cach",5251,1079,1.5162448201994,"cach"
"employ",3463,714,1.50591169012634,"employ"
"establish",3444,711,1.50196932386398,"establish"
"encourag",2700,558,1.49871109847087,"encourag"
"contain",29596,6141,1.48655355228713,"contain"
"distribut",5701,1185,1.48123672123098,"distribut"
"app",25621,5335,1.47586088237269,"app"
"common",18741,3906,1.47306788470968,"common"
"determin",5360,1119,1.46802070251813,"determin"
"case",20114,4200,1.46742637768222,"case"
"detect",8590,1797,1.46184600016046,"detect"
"assum",20638,4321,1.45933879473456,"assum"
"financi",4326,910,1.44525113875161,"financi"
"adjust",2513,530,1.43747959545137,"adjust"
"environ",3442,726,1.43718817831968,"environ"
"challeng",6630,1401,1.43169954071266,"challeng"
"annoy",4880,1033,1.42651535116683,"annoy"
"desktop",6122,1297,1.42400739304092,"desktop"
"expert",3660,777,1.41789770681145,"expert"
"collect",9755,2077,1.40923787444916,"collect"
"combin",6724,1434,1.4043897425412,"combin"
"almost",22146,4727,1.40188202197418,"almost"
"actual",80391,17176,1.39900006538355,"actual"
"accomplish",4501,962,1.39797198518609,"accomplish"
"accident",3620,776,1.38924984074101,"accident"
"assembl",3848,825,1.38880507601916,"assembl"
"deploy",6206,1331,1.38780800673998,"deploy"
"code",23570,5060,1.38493738556952,"code"
"clearli",6744,1449,1.3825067401306,"clearli"
"disclos",3033,652,1.38099245129551,"disclos"
"arrest",5058,1088,1.37913822997471,"arrest"
"crack",4222,909,1.37647189927751,"crack"
"core",3578,773,1.36642719187945,"core"
"engag",2614,565,1.36505981584821,"engag"
"difficult",10043,2173,1.36201869050532,"difficult"
"due",16004,3464,1.36099265963466,"due"
"expos",7810,1694,1.35488037977606,"expos"
"build",21455,4656,1.35339560500534,"build"
"domain",6089,1322,1.35205223533027,"domain"
"gather",2430,528,1.34976713174907,"gather"
"develop",21456,4671,1.34420856809429,"develop"
"contribut",3259,710,1.34212462638816,"contribut"
"custom",14600,3182,1.34097080249081,"custom"
"document",9678,2110,1.33997586761245,"document"
"calcul",3614,789,1.33603977817393,"calcul"
"admit",2615,571,1.33553779529566,"admit"
"convers",2473,543,1.31956412673658,"convers"
"care",11990,2641,1.3105048989814,"care"
"engin",6030,1329,1.3088034359301,"engin"
"avail",24435,5398,1.30214515484853,"avail"
"enterpris",2385,527,1.30147750095144,"enterpris"
"config",3136,693,1.30124808935959,"config"
"binari",8662,1915,1.29997878153489,"binari"
"commerci",3941,872,1.2976213839802,"commerci"
"channel",4148,922,1.28465696131943,"channel"
"block",12083,2688,1.28229356299286,"block"
"content",12261,2728,1.28187639342936,"content"
"correspond",2525,562,1.28085656136392,"correspond"
"connect",23501,5272,1.25869389951591,"connect"
"dump",6392,1438,1.25073226474724,"dump"
"design",14354,3231,1.24917303696805,"design"
"hardwar",2695,608,1.24285988023731,"hardwar"
"ethic",2739,619,1.2380174678415,"ethic"
"appli",21021,4759,1.23311996582155,"appli"
"appar",7001,1589,1.22607158013922,"appar"
"assign",6775,1543,1.21654763470876,"assign"
"decid",12173,2774,1.21494180406858,"decid"
"demonstr",3461,789,1.21388175534804,"demonstr"
"cours",4013,915,1.21339485098191,"cours"
"bit",18411,4199,1.21265341927136,"bit"
"defend",3651,833,1.21160631069027,"defend"
"exploit",16528,3771,1.21158685808529,"exploit"
"decent",5310,1212,1.21049440578608,"decent"
"educ",2736,625,1.20823406260123,"educ"
"encount",2634,602,1.20685779503182,"encount"
"condit",4566,1047,1.19779671202184,"condit"
"crash",3613,830,1.19274482932589,"crash"
"destroy",3737,859,1.19110405740643,"destroy"
"fairli",7419,1706,1.190071943721,"fairli"
"experi",6690,1540,1.18716584449065,"experi"
"button",3222,742,1.18600812795624,"button"
"broken",6327,1462,1.17675748188577,"broken"
"complic",5593,1295,1.17126778900348,"complic"
"cost",5195,1203,1.17092246239592,"cost"
"compar",13362,3096,1.16936064283386,"compar"
"audio",2402,557,1.16715349135089,"audio"
"altern",10794,2506,1.16392484675455,"altern"
"clear",17487,4060,1.16384943348756,"clear"
"charg",4117,957,1.16060046393661,"charg"
"browser",16348,3802,1.15925036141682,"browser"
"confirm",4556,1062,1.15306211716032,"confirm"
"break",14989,3494,1.15300337684836,"break"
"feder",3792,884,1.15279371205218,"feder"
"android",15784,3684,1.1495687591065,"android"
"danger",4045,945,1.14701737850092,"danger"
"embed",3631,850,1.14156289079296,"embed"
"deliv",3681,862,1.14064121928726,"deliv"
"experienc",3350,787,1.13205451658191,"experienc"
"approv",2279,536,1.12902745125238,"approv"
"camera",2712,638,1.12834586029047,"camera"
"extrem",7394,1740,1.12749012590802,"extrem"
"conflict",2615,616,1.12478421856132,"conflict"
"bash",3975,937,1.12297793777484,"bash"
"complet",32008,7548,1.12192654427978,"complet"
"effect",9788,2318,1.1105950655808,"effect"
"electron",2924,693,1.10853545260887,"electron"
"discov",8491,2013,1.10774564672055,"discov"
"appreci",7141,1693,1.10766616353037,"appreci"
"devic",22696,5394,1.10116620744842,"devic"
"either",3075,731,1.10049104428259,"either"
"focu",2720,647,1.09888605197019,"focu"
"bio",2852,679,1.09654011244933,"bio"
"deal",9004,2144,1.09611950275626,"deal"
"especi",15657,3737,1.0898814091898,"especi"
"bind",3092,739,1.08629578354784,"bind"
"consid",23354,5605,1.07533742244914,"consid"
"cabl",2508,602,1.07500734358226,"cabl"
"context",3798,912,1.07397468027203,"context"
"gain",4874,1182,1.04817547747871,"gain"
"caught",3485,846,1.04557118234171,"caught"
"easili",14441,3510,1.04233302128775,"easili"
"anonym",17276,4208,1.03683246409548,"anonym"
"complain",2865,698,1.03624737664978,"complain"
"data",82865,20246,1.02889124496804,"data"
"forum",3473,849,1.02749759820885,"forum"
"cert",8379,2049,1.02662632664165,"cert"
"cheap",5374,1315,1.02497595011532,"cheap"
"effici",4782,1173,1.01869805322991,"effici"
"disk",2367,581,1.01698709328861,"disk"
"encrypt",17075,4196,1.01405242120267,"encrypt"
"frequent",3055,751,1.01314383520763,"frequent"
"chines",3945,971,1.00993887744833,"chines"
"forc",8538,2107,1.0032519958546,"forc"
"fundament",3098,765,1.00165586927443,"fundament"
"correctli",8657,2139,1.00010941465825,"correctli"
"directli",13843,3426,0.995922607367539,"directli"
"degre",6538,1628,0.980424789128937,"degre"
"defac",4512,1124,0.97933141863614,"defac"
"compet",2648,661,0.974176244073027,"compet"
"compat",2974,743,0.97205982708802,"compat"
"download",11647,2911,0.971013340262472,"download"
"chang",48990,12246,0.970672776924597,"chang"
"broke",2855,714,0.969481842212024,"broke"
"disagre",3018,755,0.968695380710529,"disagre"
"command",13020,3261,0.965727865721618,"command"
"extract",3113,781,0.961491562555591,"extract"
"back",55478,13923,0.960681605587587,"back"
"depend",26149,6570,0.957803438259143,"depend"
"firewal",5689,1431,0.954956493280686,"firewal"
"default",4634,1170,0.945596778386622,"default"
"attend",2175,550,0.941729939194926,"attend"
"dollar",2874,732,0.92389224771715,"dollar"
"focus",4603,1175,0.918359567106271,"focus"
"compil",9638,2463,0.915630160796481,"compil"
"individu",7067,1806,0.91560084540117,"individu"
"debug",3329,852,0.911953071341951,"debug"
"dual",2172,558,0.902627337078816,"dual"
"dynam",6107,1570,0.900949017860652,"dynam"
"fund",2047,527,0.89744746482073,"fund"
"creat",43550,11220,0.895690654998931,"creat"
"construct",2521,650,0.89380071215051,"construct"
"clone",2373,612,0.893164108915005,"clone"
"distro",4776,1234,0.888684756097382,"distro"
"discuss",4722,1221,0.886783252288631,"discuss"
"display",5479,1422,0.87777622322523,"display"
"byte",5813,1509,0.877269806744882,"byte"
"desir",3369,875,0.876051290937791,"desir"
"extern",7053,1835,0.871837551013847,"extern"
"append",2463,641,0.871104895931594,"append"
"chrome",5389,1403,0.870236308477934,"chrome"
"flaw",3132,817,0.865500611203752,"flaw"
"enabl",10049,2626,0.861214001946098,"enabl"
"boot",5953,1558,0.857554980660685,"boot"
"identifi",7957,2088,0.851192144436493,"identifi"
"impact",2183,573,0.85053029724749,"impact"
"constant",4866,1278,0.849105731742557,"constant"
"attribut",5115,1345,0.846247160424675,"attribut"
"fbi",3245,854,0.844226166981816,"fbi"
"differ",61431,16180,0.84231019464,"differ"
"arriv",2610,690,0.833418007075292,"arriv"
"familiar",4469,1187,0.822296182246964,"familiar"
"date",3899,1039,0.814543431004706,"date"
"door",2464,657,0.813115796736941,"door"
"hacker",13919,3723,0.805727155626971,"hacker"
"deriv",3204,857,0.805709188646264,"deriv"
"describ",7679,2064,0.794258316834988,"describ"
"bitcoin",2087,564,0.781601868358077,"bitcoin"
"catch",3647,988,0.775895091848184,"catch"
"fulli",6659,1806,0.773286072407991,"fulli"
"evalu",2884,783,0.770839051623015,"evalu"
"cover",8138,2211,0.769212512230428,"cover"
"entir",16713,4547,0.766014132222322,"entir"
"argument",8044,2189,0.765464203188994,"argument"
"form",6070,1657,0.758225743375705,"form"
"brand",1989,543,0.758059810066165,"brand"
"convert",6099,1668,0.753959700137449,"convert"
"group",4536,1241,0.753104238408628,"group"
"direct",8128,2229,0.747662333773082,"direct"
"email",24844,6814,0.747375486745336,"email"
"debian",4011,1104,0.739267548839115,"debian"
"extens",5338,1470,0.738096053959887,"extens"
"infect",5216,1444,0.726061352607045,"infect"
"call",50827,14113,0.719284918714576,"call"
"event",5563,1545,0.718791001399718,"event"
"lab",2786,774,0.718057708705572,"lab"
"drive",10064,2804,0.711553541563214,"drive"
"flexibl",1839,515,0.700035144300312,"flexibl"
"isp",2898,812,0.698833026022952,"isp"
"infosec",2099,589,0.695495360183611,"infosec"
"internet",7178,2017,0.692398129304317,"internet"
"essenti",7408,2083,0.690923036931818,"essenti"
"expens",5664,1594,0.688980228691206,"expens"
"charact",11613,3271,0.687068615202746,"charact"
"kind",2583,729,0.682608204612137,"kind"
"figur",6749,1908,0.67882966558562,"figur"
"grant",2435,690,0.673647532492689,"grant"
"array",8073,2289,0.672313369757923,"array"
"dumb",2763,784,0.670654747363846,"dumb"
"confus",6901,1959,0.669697835790035,"confus"
"correct",15689,4462,0.665553122587473,"correct"
"deep",5419,1548,0.655794995521056,"deep"
"immedi",6318,1805,0.655562551665777,"immedi"
"disabl",9471,2706,0.655388049683249,"disabl"
"execut",13897,3976,0.652377714929329,"execut"
"duplic",2786,798,0.649862153569866,"duplic"
"definit",15463,4438,0.645451895788522,"definit"
"ident",2857,821,0.642727622656119,"ident"
"inject",2939,845,0.641596197726888,"inject"
"count",3762,1082,0.640832778035243,"count"
"branch",6288,1809,0.640239946407258,"branch"
"forens",7843,2265,0.631886523299045,"forens"
"answer",15370,4445,0.628815264661074,"answer"
"legitim",2881,836,0.621479141714761,"legitim"
"consol",2299,669,0.615368667516819,"consol"
"integr",3200,932,0.613481361132398,"integr"
"framework",2097,612,0.609068038144595,"framework"
"exact",5893,1723,0.605116185738221,"exact"
"column",2158,633,0.59816490746646,"column"
"foreign",2641,775,0.597269882947524,"foreign"
"malici",8075,2373,0.594198006627467,"malici"
"error",9483,2787,0.594020266904159,"error"
"defin",11235,3309,0.58942297794715,"defin"
"kali",2834,835,0.588620665386334,"kali"
"express",3812,1124,0.587012459696652,"express"
"buy",11445,3376,0.58616048741446,"buy"
"box",6869,2029,0.583202797595904,"box"
"invest",1918,567,0.581504772019125,"invest"
"expand",2726,808,0.575864386308966,"expand"
"clean",8842,2627,0.57085887750346,"clean"
"digit",9056,2693,0.568953841742646,"digit"
"futur",6698,1992,0.568738004001703,"futur"
"harder",2932,872,0.568697385886136,"harder"
"evil",1844,550,0.562613277481465,"evil"
"convinc",1941,579,0.562364026510284,"convinc"
"ideal",2978,890,0.558417886201429,"ideal"
"intent",2815,842,0.556630704416989,"intent"
"chat",2469,739,0.555226509170707,"chat"
"imposs",4337,1301,0.550557425567636,"imposs"
"hack",21954,6595,0.547594113505745,"hack"
"exist",19753,5964,0.536981549362374,"exist"
"gener",35150,10613,0.536941848878084,"gener"
"fals",6544,1976,0.536793817711408,"fals"
"login",3346,1011,0.53544166965536,"login"
"fake",4234,1286,0.524597049761663,"fake"
"former",2914,886,0.522429750196676,"former"
"inform",2915,888,0.518472772333409,"inform"
"dark",2511,765,0.518280815528834,"dark"
"drop",5743,1751,0.516697840377222,"drop"
"explor",1989,608,0.511369382228198,"explor"
"check",34508,10560,0.509115067791034,"check"
"exampl",6120,1873,0.508914924033949,"exampl"
"malwar",3524,1080,0.506066056930493,"malwar"
"comment",11832,3627,0.505585530976768,"comment"
"law",2365,726,0.502672375277021,"law"
"measur",2587,795,0.500475286565045,"measur"
"directori",5219,1605,0.498979367730048,"directori"
"lack",3043,936,0.498573036260508,"lack"
"indic",4165,1290,0.484470797804186,"indic"
"exam",2021,626,0.484314780230586,"exam"
"hire",3384,1054,0.473096391369837,"hire"
"level",4247,1323,0.472782870408115,"level"
"chip",1781,557,0.46481903991309,"chip"
"independ",3059,957,0.46416432806683,"independ"
"delet",13723,4299,0.461449533821153,"delet"
"fix",16889,5299,0.458342248569014,"fix"
"issu",20700,6496,0.457946148282278,"issu"
"fair",4287,1346,0.456948440072184,"fair"
"field",4567,1435,0.455427626352481,"field"
"handl",13770,4331,0.453428093578118,"handl"
"featur",14313,4503,0.452888438945977,"featur"
"fail",13530,4257,0.452729022455217,"fail"
"equival",3526,1114,0.444461519581559,"equival"
"filter",3994,1262,0.444239268082958,"filter"
"declar",5164,1632,0.443859996990064,"declar"
"earn",1864,591,0.437409680662431,"earn"
"involv",9026,2865,0.435179642995263,"involv"
"intend",4218,1339,0.434975364455702,"intend"
"click",12268,3904,0.430128518159616,"click"
"explicitli",3755,1195,0.430028596055021,"explicitli"
"explicit",1705,544,0.424945992278447,"explicit"
"close",22001,7031,0.4217654854415,"close"
"mainli",2476,792,0.419951384973648,"mainli"
"css",2214,710,0.414941522180626,"css"
"machin",6426,2067,0.408984412104913,"machin"
"equal",4873,1568,0.408308600378849,"equal"
"commit",8162,2633,0.403335411126008,"commit"
"guarante",2721,879,0.400612177342995,"guarante"
"front",4088,1321,0.400021372897702,"front"
"honest",2404,779,0.394592708722357,"honest"
"googl",10613,3446,0.390683835165431,"googl"
"initi",8207,2665,0.390524488018995,"initi"
"import",14983,4871,0.388262987041078,"import"
"detail",24481,7976,0.384088443484685,"detail"
"excel",4199,1369,0.382746228661721,"excel"
"interact",3342,1090,0.382023489843018,"interact"
"flag",2398,783,0.37983426456569,"flag"
"maintain",4739,1555,0.370390401839375,"maintain"
"languag",5272,1731,0.369161954118803,"languag"
"hand",6487,2131,0.368199630887703,"hand"
"edit",6737,2218,0.363985473936739,"edit"
"announc",10984,3621,0.361462568013557,"announc"
"implement",14870,4905,0.360318716240482,"implement"
"flask",2168,716,0.358008400184808,"flask"
"improv",6930,2293,0.35442311819084,"improv"
"monitor",3194,1060,0.348732094047724,"monitor"
"layer",2174,722,0.347392050521519,"layer"
"fedora",2096,698,0.342216991727354,"fedora"
"dead",3681,1227,0.340411971220404,"dead"
"feed",1990,666,0.332844978344419,"feed"
"dictionari",2996,1007,0.324772642597621,"dictionari"
"horribl",1759,593,0.319165692740617,"horribl"
"offic",1777,600,0.316263805204919,"offic"
"locat",4355,1471,0.315573612891587,"locat"
"extra",9732,3289,0.314555011297945,"extra"
"illeg",3815,1290,0.313553545925122,"illeg"
"obtain",3298,1119,0.307197335600551,"obtain"
"interpret",2300,781,0.305728305730257,"interpret"
"human",4965,1686,0.305663720571478,"human"
"imagin",2756,937,0.303435056993176,"imagin"
"impli",2115,720,0.301039961412548,"impli"
"instanc",2942,1002,0.300175506107386,"instanc"
"folder",4277,1461,0.294707023489998,"folder"
"job",4476,1529,0.29467966944228,"job"
"format",6332,2165,0.292983702592742,"format"
"exactli",14891,5092,0.292782045765496,"exactli"
"manufactur",1607,550,0.291161166224395,"manufactur"
"materi",1727,593,0.285171647172957,"materi"
"high",11890,4085,0.284124936391058,"high"
"fall",3352,1153,0.281951536882981,"fall"
"github",1874,646,0.278001850410428,"github"
"hard",19527,6738,0.276182655131364,"hard"
"hide",3273,1130,0.275186836388275,"hide"
"forward",7211,2490,0.274886827186768,"forward"
"function",16311,5642,0.271744729726377,"function"
"explain",10320,3570,0.271593668362975,"explain"
"find",52923,18392,0.263243517025451,"find"
"interfac",4174,1451,0.262699058684429,"interfac"
"manag",10098,3515,0.260301412430707,"manag"
"host",9371,3263,0.259713227244021,"host"
"network",9679,3374,0.257700410604494,"network"
"blog",4228,1474,0.257501036048366,"blog"
"lead",6768,2364,0.25407335072805,"lead"
"firefox",2979,1042,0.251541561366204,"firefox"
"die",3206,1123,0.248976350936444,"die"
"input",4028,1412,0.247614486347498,"input"
"html",2709,951,0.245024893831025,"html"
"polici",1722,605,0.243576350403728,"polici"
"hash",7040,2488,0.233056780490302,"hash"
"encod",4357,1546,0.225912258350987,"encod"
"intern",12462,4434,0.221070561248013,"intern"
"copi",12740,4538,0.219085795558647,"copi"
"graphic",3017,1075,0.218523553880363,"graphic"
"card",10495,3740,0.218295577163953,"card"
"global",7035,2507,0.21829121004534,"global"
"file",44364,15818,0.217352661263369,"file"
"minimum",1665,594,0.216330485765344,"minimum"
"hook",1699,607,0.213798852365487,"hook"
"anim",2400,859,0.210608092552363,"anim"
"length",1500,538,0.206927685180388,"length"
"major",7372,2645,0.206323856154557,"major"
"media",7897,2841,0.201605195354342,"media"
"legal",4995,1797,0.201591128625761,"legal"
"offlin",1483,535,0.196759329828003,"offlin"
"kernel",4879,1770,0.187016841483131,"kernel"
"header",2441,887,0.184166791374122,"header"
"crazi",3292,1197,0.183055500944062,"crazi"
"full",19939,7271,0.178050488332391,"full"
"escap",1993,727,0.177508249759565,"escap"
"insid",2609,955,0.171545215018334,"insid"
"imag",6178,2266,0.168050833844443,"imag"
"logic",4560,1673,0.167579909039357,"logic"
"ignor",5177,1900,0.167009351182438,"ignor"
"instal",24276,8933,0.162490859396435,"instal"
"java",3258,1199,0.162302061964516,"java"
"interview",1779,655,0.161524793833872,"interview"
"index",1986,732,0.159687991774509,"index"
"jump",1836,677,0.158963417896165,"jump"
"folk",4010,1480,0.157385331032534,"folk"
"least",19395,7165,0.155778401151465,"least"
"log",10432,3856,0.154824406316985,"log"
"float",2053,760,0.152255208559704,"float"
"linux",16548,6127,0.151950684514873,"linux"
"invalid",1654,613,0.150295904285244,"invalid"
"chanc",4456,1652,0.149748485468076,"chanc"
"notifi",1404,521,0.14816169684193,"notifi"
"introduc",3551,1321,0.143939383292028,"introduc"
"leak",12579,4685,0.141946787949898,"leak"
"hang",1724,644,0.136949162772355,"hang"
"extend",4102,1535,0.133984652045406,"extend"
"fill",4080,1534,0.126047547546864,"fill"
"hidden",3466,1304,0.124952874603182,"hidden"
"cool",7451,2809,0.121532190102756,"cool"
"flash",2311,872,0.120073200736074,"flash"
"oper",11967,4518,0.119133955939069,"oper"
"forev",1966,743,0.117427560357071,"forev"
"empti",4789,1812,0.115478723134906,"empti"
"mere",1385,526,0.109269829991016,"mere"
"market",1518,578,0.104997324341599,"market"
"creativ",1730,659,0.104299402539607,"creativ"
"mostli",6356,2430,0.0982822121386776,"mostli"
"fight",3473,1328,0.0980132120419191,"fight"
"lower",3010,1154,0.093671611661988,"lower"
"huge",9247,3556,0.0886791211103346,"huge"
"javascript",2274,875,0.0877111631279269,"javascript"
"mani",39585,15266,0.0840322547930938,"mani"
"maximum",1360,525,0.0824315640984546,"maximum"
"idea",4263,1646,0.0820780065030034,"idea"
"flat",1555,603,0.0750589896961495,"flat"
"multipl",12509,4857,0.0729708866865817,"multipl"
"licens",3133,1219,0.0696203959709685,"licens"
"main",10058,3950,0.0546210180024705,"main"
"limit",8553,3359,0.0545986079709985,"limit"
"phish",2106,828,0.0528251169717193,"phish"
"mac",3192,1255,0.0527923808471603,"mac"
"militari",2326,918,0.0467087869456813,"militari"
"minim",1815,717,0.0452042658828419,"minim"
"februari",1480,585,0.0442806154006348,"februari"
"hope",10927,4323,0.042849559829643,"hope"
"overal",2241,889,0.0385451333684984,"overal"
"bar",1825,724,0.0384873877214888,"bar"
"interest",17393,6909,0.0364229002708813,"interest"
"manual",6694,2667,0.0316952598961154,"manual"
"laptop",7974,3178,0.0311843548566288,"laptop"
"messag",7199,2890,0.0197685031104764,"messag"
"minor",1911,768,0.0180536409185858,"minor"
"numer",2014,810,0.0168809869227653,"numer"
"letter",1723,693,0.0168001849786351,"letter"
"invok",1569,632,0.0144715355958775,"invok"
"inherit",1516,611,0.0135791827663224,"inherit"
"doubl",6777,2740,0.00865249587596183,"doubl"
"member",4177,1690,0.00754376048984681,"member"
"onlin",7112,2878,0.00726840525761695,"onlin"
"hate",2562,1037,0.00690788814209729,"hate"
"integ",1997,811,0.00174472039475539,"integ"
"fresh",2674,1086,0.00165316860106398,"fresh"
"learn",21170,8599,0.00144364582266364,"learn"
"insert",3055,1243,-0.00117109697582722,"insert"
"gnome",2957,1204,-0.00229455933302414,"gnome"
"outdat",1264,515,-0.00330949692739988,"outdat"
"particularli",2161,881,-0.00423835754030301,"particularli"
"occur",3167,1293,-0.00647583676961287,"occur"
"matter",4021,1643,-0.00772957381217491,"matter"
"microsoft",9483,3879,-0.00939904863469723,"microsoft"
"giant",1583,649,-0.0129048009228184,"giant"
"necessari",5309,2179,-0.0146046642567634,"necessari"
"instruct",3692,1518,-0.0173078965463583,"instruct"
"font",1518,626,-0.0218608346793541,"font"
"element",8483,3504,-0.024363407319044,"element"
"info",4893,2028,-0.0295451386900978,"info"
"kde",1306,542,-0.0315155015032509,"kde"
"hit",9305,3874,-0.036356006992509,"hit"
"finish",5547,2310,-0.0367412032506911,"finish"
"million",6860,2889,-0.0536079483243251,"million"
"modern",4613,1947,-0.0569076223619011,"modern"
"lazi",1324,559,-0.0573932369992181,"lazi"
"necessarili",2478,1050,-0.062757409212038,"necessarili"
"amazon",4534,1923,-0.0641594868155959,"amazon"
"list",9743,4153,-0.071567334874028,"list"
"patch",4508,1922,-0.0719084311794496,"patch"
"long",21261,9089,-0.0758596378120194,"long"
"oppos",1437,615,-0.0775075084961517,"oppos"
"key",22949,9843,-0.0807081336836946,"key"
"fuck",6595,2829,-0.0808921931144869,"fuck"
"echo",1511,649,-0.082791634973126,"echo"
"eleg",1223,529,-0.0930522728645701,"eleg"
"mode",1370,594,-0.0965245416640818,"mode"
"month",8536,3713,-0.101216217435015,"month"
"persist",1248,545,-0.106911853972701,"persist"
"mess",2017,882,-0.108839623684652,"mess"
"local",14907,6521,-0.109374448446214,"local"
"liter",5725,2505,-0.109733482231486,"liter"
"platform",2441,1070,-0.112329345299088,"platform"
"donat",1382,607,-0.115187694167369,"donat"
"packet",2295,1010,-0.118018558819579,"packet"
"fun",3098,1366,-0.120753590218608,"fun"
"particular",5380,2374,-0.121835988916307,"particular"
"massiv",3276,1446,-0.122249986355726,"massiv"
"modifi",5404,2387,-0.123277153085603,"modifi"
"obviou",3482,1545,-0.129707664336438,"obviou"
"model",2945,1308,-0.131088916876118,"model"
"potenti",5313,2361,-0.131852034606988,"potenti"
"notic",5846,2598,-0.131930908568374,"notic"
"kill",3977,1768,-0.13240845425493,"kill"
"bundl",4248,1890,-0.133552032561782,"bundl"
"master",2035,909,-0.139155567385292,"master"
"optim",2487,1111,-0.13928157041698,"optim"
"load",6835,3055,-0.140042537989697,"load"
"oscp",1584,708,-0.140060012875462,"oscp"
"pentest",2716,1217,-0.143569349014206,"pentest"
"iphon",1241,557,-0.145906570032822,"iphon"
"password",11998,5386,-0.146145951692866,"password"
"nearli",2893,1299,-0.146479457227166,"nearli"
"offer",7213,3242,-0.147888389777209,"offer"
"outsid",2914,1311,-0.149230475695903,"outsid"
"iter",2566,1158,-0.153540151826683,"iter"
"other",10735,4852,-0.155681844033731,"other"
"label",1543,698,-0.156871178444432,"label"
"process",4758,2158,-0.160513840310868,"process"
