"","terms","tdif","degree","frequency","ratio","apmis","agg"
"buy","buy",0.534836336023033,11445,3376,0.58616048741446,1.62841017119637,0.916468998211289
"system","system",1.26774567774776,3989,5256,-1.07134724803905,-2.55245859570622,0.916285675138308
"correct","correct",0.9474612497633,15689,4462,0.665553122587473,1.1164032251217,0.909805865824159
"singl","singl",1.63683233726945,4990,6366,-1.05565542273304,-2.1422991926972,0.907825369077869
"due","due",0.563751456259293,16004,3464,1.36099265963466,0.792856116564016,0.905866744152656
"announc","announc",0.620788064841645,10984,3621,0.361462568013557,1.72414372489034,0.902131452581846
"design","design",0.475511504915905,14354,3231,1.24917303696805,0.961417409615167,0.895367317166374
"cyber","cyber",-0.144030491661004,9399,1726,1.88098442451318,0.948414330096744,0.895122754316308
"advertis","advertis",-0.740962727289796,3217,539,2.21039982109258,1.2102668363633,0.893234643388696
"usual","usual",1.40062255167824,1162,5714,-1.421337323087,-2.69402182103116,0.891102349874131
"person","person",1.54835254098011,12624,6122,-0.250438287692911,-1.36842062091683,0.888778291401344
"appar","appar",-0.226020047827355,7001,1589,1.22607158013922,1.66451875956427,0.888190097292045
"real","real",1.67531420146254,8708,6499,-0.705372583491286,-1.6789348596105,0.882958825860586
"password","password",1.34895742879019,11998,5386,-0.146145951692866,-1.42399089911743,0.875600792071584
"remov","remov",1.73962575303645,6891,6648,-0.89646611306826,-1.78321888774382,0.875459509237335
"string","string",1.7595651842192,2719,6559,-1.28830104557268,-2.15252802843692,0.874597389027811
"send","send",1.723959286897,5636,6622,-1.01329071574012,-1.90905871089258,0.873242427349822
"issu","issu",1.68188473966412,20700,6496,0.457946148282278,-0.479021613284824,0.87295083374374
"definit","definit",0.934049002103096,15463,4438,0.645451895788522,1.03824628753009,0.872582395140569
"least","least",1.88499890344252,19395,7165,0.155778401151465,-0.569793700290403,0.870190334961462
"decid","decid",0.286890684195541,12173,2774,1.21494180406858,1.0857603841315,0.862530957465207
"name","name",1.78154639289623,13772,6728,-0.259952658715316,-1.05996849753215,0.860520743904354
"hack","hack",1.74411893315482,21954,6595,0.547594113505745,-0.285872511604237,0.859195186088267
"concern","concern",-0.189002812632405,8125,1663,1.52834339883253,1.2305220363972,0.856620874199109
"attach","attach",-0.478523130633064,5267,1044,1.62867620018242,1.41824985180419,0.856134307117851
"arbitrari","arbitrari",-0.609276397342556,4386,790,1.94798608307128,1.22694306418104,0.855217583303253
"appreci","appreci",-0.179085437225921,7141,1693,1.10766616353037,1.62962757196046,0.852736099421635
"charact","charact",0.521900742347905,11613,3271,0.687068615202746,1.331310041443,0.846759799664552
"click","click",0.742376547333147,12268,3904,0.430128518159616,1.34957261161267,0.840692559035143
"comment","comment",0.637751075337928,11832,3627,0.505585530976768,1.36420541643265,0.835847340915782
"credenti","credenti",-0.232029293758015,8515,1548,1.91569930937244,0.823710928383747,0.835793647999389
"certif","certif",-0.285671222832834,7023,1427,1.55087364906921,1.24165941901479,0.83562061508372
"brows","brows",-0.690088961165975,3668,636,2.08367580170659,1.1044879216186,0.832691587386406
"challeng","challeng",-0.305430937840658,6630,1401,1.43169954071266,1.34684417196192,0.824370924944642
"linux","linux",1.58963386792119,16548,6127,0.151950684514873,-0.715687760345253,0.819090770927106
"adapt","adapt",-0.697553782119375,3348,621,1.84681930299923,1.30725967484677,0.818841731908875
"corpor","corpor",-0.301377591090645,7132,1407,1.64374582254285,1.10240112461425,0.814923118688818
"assign","assign",-0.239608036947988,6775,1543,1.21654763470876,1.46493943748776,0.813959678416177
"clearli","clearli",-0.290052588130758,6744,1449,1.3825067401306,1.32150096009712,0.804651704032321
"exist","exist",1.50046263821979,19753,5964,0.536981549362374,0.372994585896312,0.80347959115949
"contact","contact",-0.217534241455528,7978,1593,1.60545713757651,1.02024412804791,0.802722341389631
"approach","approach",-0.563929105354089,4419,880,1.61391752482359,1.35594335479011,0.801977258086535
"averag","averag",-0.514621990597629,4796,972,1.55883795375157,1.36062107079906,0.801612344651002
"accomplish","accomplish",-0.522979412911948,4501,962,1.39797198518609,1.51390518043049,0.796299250901545
"annoy","annoy",-0.488008569425184,4880,1033,1.42651535116683,1.44978035152595,0.796095711089198
"especi","especi",0.664888938525396,15657,3737,1.0898814091898,0.630547043223074,0.795105796979422
"combin","combin",-0.295205349348616,6724,1434,1.4043897425412,1.25511147523738,0.788098622809989
"card","card",0.685192126971679,10495,3740,0.218295577163953,1.45227323257829,0.785253645571308
"advantag","advantag",-0.702496991093619,3259,614,1.7942266395652,1.2590707188649,0.783600122445492
"argument","argument",0.0556861793528434,8044,2189,0.765464203188994,1.52445214609696,0.781867509546265
"copi","copi",0.979933773259135,12740,4538,0.219085795558647,1.13807949427014,0.779033021029307
"entir","entir",0.973542861750534,16713,4547,0.766014132222322,0.588551893302503,0.776036295758453
"cert","cert",0.00842808335363225,8379,2049,1.02662632664165,1.28651033047007,0.773854913488452
"directli","directli",0.548930513033115,13843,3426,0.995922607367539,0.773526018875679,0.772793046425444
"concept","concept",-0.485330644910406,5416,1033,1.7533830724758,1.04870547432169,0.77225263396236
"similar","similar",1.29553729138389,4799,5436,-0.993311239607,-2.01323342733072,0.771819826369203
"argu","argu",-0.637406963030636,3742,735,1.65774049529494,1.28263845945772,0.76765733057401
"broken","broken",-0.2797377838512,6327,1462,1.17675748188577,1.3986005660259,0.765206754686823
"easili","easili",0.578489851940114,14441,3510,1.04233302128775,0.665500825762199,0.762107899663353
"local","local",1.72021722204274,14907,6521,-0.109374448446214,-0.666937225535624,0.759259999710718
"difficult","difficult",0.037351317454938,10043,2173,1.36201869050532,0.877399495890185,0.758923167950149
"cach","cach",-0.457522311972381,5251,1079,1.5162448201994,1.21452620750974,0.757749571912255
"left","left",2.30375509234693,11773,8459,-0.672694677652641,-0.641981262108406,0.75768055893423
"databas","databas",-0.357721626091543,6890,1293,1.80737712551526,0.814056529839023,0.754570676420914
"recent","recent",1.10626368433739,7990,4904,-0.523074651710773,-1.67245735990102,0.751882130842545
"bank","bank",-0.618373860691766,3986,767,1.72433554934268,1.13357441021567,0.746512032955528
"deal","deal",0.0226588440907014,9004,2144,1.09611950275626,1.11270926366311,0.743829203503357
"cloud","cloud",-0.478863196310064,5187,1040,1.59244188311021,1.11230277760663,0.741960488135592
"exploit","exploit",0.708473538067563,16528,3771,1.21158685808529,0.302177890319507,0.740746095490786
"bare","bare",-0.734607368429786,2962,555,1.81257043524314,1.13088007783682,0.736281048216724
"authent","authent",-0.690365493871531,3351,631,1.79599080608198,1.09412451281292,0.733249941674458
"detect","detect",-0.124547781500751,8590,1797,1.46184600016046,0.862134361578643,0.733144193412784
"interest","interest",1.80715594417738,17393,6909,0.0364229002708813,-0.349518631597131,0.731032492015132
"arrest","arrest",-0.454617700852373,5058,1088,1.37913822997471,1.26816353135776,0.730894686826701
"clean","clean",0.231240704343953,8842,2627,0.57085887750346,1.38894093324774,0.730346838365052
"compon","compon",-0.505944135206441,4947,982,1.62405175330626,1.07072447009568,0.729610696065163
"method","method",1.58004414449648,12415,6110,-0.26943532963319,-0.877687481095166,0.72943209865282
"compil","compil",0.174418550765885,9638,2463,0.915630160796481,1.09574481342374,0.728597841662035
"array","array",0.102541244767531,8073,2289,0.672313369757923,1.40950131880131,0.728118644442253
"link","link",1.81250231003028,14137,6853,-0.249921131329835,-0.621592565625698,0.728057914775381
"oper","oper",0.985796192639427,11967,4518,0.119133955939069,-1.077679972334,0.727536706970833
"point","point",1.48009804971772,9780,5929,-0.510326251161786,-1.20913602771405,0.726302608756662
"document","document",0.0173844087998376,9678,2110,1.33997586761245,0.811733744581603,0.723031340331296
"hard","hard",1.76081849007484,19527,6738,0.276182655131364,-0.121626197259124,0.719542447488442
"result","result",1.15552355268739,6374,5011,-0.748144350236302,-1.74669229235433,0.718023831601806
"true","true",1.29202566691187,1525,5396,-1.37140946632619,-2.23323873689022,0.717951645825301
"full","full",1.92665569312634,19939,7271,0.178050488332391,0.04235489900175,0.71568702682016
"delet","delet",0.920232874872164,13723,4299,0.461449533821153,0.764824273707011,0.715502227466776
"alloc","alloc",-0.623948614653,3681,746,1.55893873052841,1.20364566052846,0.712878592134624
"public","public",1.14992224134454,7925,4918,-0.534322327202845,-1.51929516224753,0.711631692129743
"accident","accident",-0.617158801642927,3620,776,1.38924984074101,1.34426305713689,0.70545136541166
"leak","leak",1.08733720019933,12579,4685,0.141946787949898,-0.884528546822428,0.704604178323887
"corrupt","corrupt",-0.730606987225771,3111,560,1.95016471507873,0.893650364078921,0.704402697310627
"captur","captur",-0.683207660031156,3355,647,1.71715439763915,1.07510844986144,0.703018395823143
"encrypt","encrypt",0.884910378930013,17075,4196,1.01405242120267,0.208109524875231,0.702357441669303
"return","return",1.41279251763066,5121,5680,-0.981489394694614,-1.67137599560356,0.700893039513201
"correctli","correctli",0.0191399216154345,8657,2139,1.00010941465825,1.07059078922327,0.69661337516565
"quit","quit",1.24465424258072,7616,5287,-0.641989302441846,-1.48522910012633,0.6959646800884
"crimin","crimin",-0.502124923719313,5102,996,1.67747909947433,0.912360233556452,0.695904803103822
"comfort","comfort",-0.68565576689279,3346,645,1.71849335637102,1.04377885471556,0.692205481397931
"archiv","archiv",-0.668634780803449,3322,670,1.57398992627489,1.16855585778074,0.691303667750726
"store","store",1.00740684349511,3296,4568,-1.09490809210766,-2.14829260857335,0.686930453320265
"box","box",-0.0238913717232832,6869,2029,0.583202797595904,1.49772625899653,0.685679228289718
"assembl","assembl",-0.584115439144989,3848,825,1.38880507601916,1.24345210407607,0.682713913650081
"articl","articl",-0.6886023672047,3157,636,1.57753499637793,1.15325650299994,0.680729710724391
"support","support",1.08674893644529,2942,4811,-1.1642191315094,-2.1143812378415,0.678970347592462
"multipl","multipl",1.09957223982681,12509,4857,0.0729708866865817,-0.862322220534811,0.678288449016068
"cisco","cisco",-0.608109745508141,3933,788,1.59472026337321,1.03377553962131,0.673462019162126
"dedic","dedic",-0.522208433504716,4741,962,1.55513260645653,0.960475189387217,0.664466454113011
"download","download",0.354539623920939,11647,2911,0.971013340262472,0.653455612496386,0.659669525559932
"suggest","suggest",1.12044967907206,2651,4941,-1.21145559690336,-2.06608052077259,0.658358200980428
"exactli","exactli",1.16989103778221,14891,5092,0.292782045765496,0.509490888960724,0.657387990836143
"site","site",0.910747327402891,3835,4244,-0.980201681034041,-2.02607571491713,0.652207120428659
"effect","effect",0.0972804472800491,9788,2318,1.1105950655808,0.739783573381546,0.649219695414133
"servic","servic",0.843738524083938,4667,4121,-0.83602864991527,-1.93439879013166,0.647369554766775
"complic","complic",-0.36027879309707,5593,1295,1.17126778900348,1.13060781026267,0.647198935389693
"origin","origin",1.33746346273534,9983,5514,-0.408927201299655,-1.00548452217459,0.644673594536759
"desktop","desktop",-0.356278438448595,6122,1297,1.42400739304092,0.864374778783354,0.644034577791894
"cover","cover",0.0543049006847359,8138,2211,0.769212512230428,1.10774394630799,0.643753786407719
"valu","valu",1.187314288685,491,5049,-1.48818355500319,-2.23152946857474,0.643553400752186
"fix","fix",1.26422325883553,16889,5299,0.458342248569014,0.205956986847183,0.642840831417242
"other","other",1.08732380928336,10735,4852,-0.155681844033731,-0.991155201697497,0.640932388982375
"switch","switch",1.05758526005095,2497,4668,-1.21247137705379,-2.07500754245598,0.64004047515105
"defin","defin",0.515727940296398,11235,3309,0.58942297794715,0.812501557689335,0.639217491977628
"boot","boot",-0.231681049803767,5953,1558,0.857554980660685,1.28814641668489,0.638006782513935
"top","top",1.24134362815882,1485,5263,-1.37169816609008,-2.04301824723539,0.637554569768042
"live","live",1.88821386993396,12133,7129,-0.477315235988228,-0.494505327892943,0.635134653946226
"employe","employe",-0.539350911306724,4847,920,1.76944474459422,0.669415793226567,0.633169875504689
"deploy","deploy",-0.33903444405,6206,1331,1.38780800673998,0.849637918896344,0.632803827195441
"channel","channel",-0.537072613242588,4148,922,1.28465696131943,1.14265427201107,0.630079540029306
"determin","determin",-0.445065788956828,5360,1119,1.46802070251813,0.861877798404109,0.628277570655137
"final","final",1.68017431475358,14136,6540,-0.18782314018334,0.389229464373257,0.627193546314499
"sever","sever",0.794377298580182,4733,4055,-0.814163720585202,-1.8792079220434,0.619807166679459
"cheap","cheap",-0.349555364134649,5374,1315,1.02497595011532,1.16413240133168,0.613184329104116
"save","save",1.20374977999313,4585,5134,-0.986855750140171,-1.61447142473413,0.610455151529031
"post","post",1.21186937975159,8070,5164,-0.564991767877674,-1.18272668221128,0.609868098028396
"adjust","adjust",-0.747713166813634,2513,530,1.43747959545137,1.13807354695286,0.609279991863533
"sign","sign",1.56550602428862,2512,6195,-1.29400627224475,-1.54003655631918,0.603845436121016
"distribut","distribut",-0.409517026030522,5701,1185,1.48123672123098,0.73489227616562,0.602203990455359
"calcul","calcul",-0.605420228793619,3614,789,1.33603977817393,1.0727499328149,0.601123160731739
"byte","byte",-0.23678946448593,5813,1509,0.877269806744882,1.15112421541879,0.597201519225916
"talk","talk",1.11130627203037,2005,4890,-1.29115123275994,-1.97048837708347,0.596881138784632
"attribut","attribut",-0.329663362498555,5115,1345,0.846247160424675,1.27358682490548,0.596723540943865
"commerci","commerci",-0.565353898629839,3941,872,1.2976213839802,1.05737776962495,0.596548418325104
"program","program",0.776112076682922,7679,3957,-0.326952052492635,-1.33979600269953,0.596318675629937
"execut","execut",0.781372818473656,13897,3976,0.652377714929329,0.353080978744845,0.595610504049277
"hacker","hacker",0.684114375356587,13919,3723,0.805727155626971,-0.291745397402343,0.593862309461967
"discov","discov",-0.0359416996331545,8491,2013,1.10774564672055,0.704165224698784,0.591989723928726
"decent","decent",-0.40112773474845,5310,1212,1.21049440578608,0.965179765040585,0.59151547869274
"drive","drive",0.321471322116259,10064,2804,0.711553541563214,0.736060842796847,0.589695235492107
"cost","cost",-0.400099328170298,5195,1203,1.17092246239592,0.99755385998383,0.589458998069817
"admit","admit",-0.72560193434174,2615,571,1.33553779529566,1.15444693026827,0.588127597074063
"featur","featur",0.966993117290187,14313,4503,0.452888438945977,0.339758604894694,0.586546720376953
"crack","crack",-0.545760071763638,4222,909,1.37647189927751,0.917458013317439,0.582723280277103
"fail","fail",0.879182996442951,13530,4257,0.452729022455217,0.408704730536318,0.580205583144829
"branch","branch",-0.102501075397531,6288,1809,0.640239946407258,1.20141887385798,0.579719248289234
"bash","bash",-0.532381990947802,3975,937,1.12297793777484,1.14653624694765,0.579044064591562
"cpu","cpu",-0.661939035527435,3371,687,1.54163078573664,0.854800203431565,0.578163984546924
"recommend","recommend",1.014474836249,6123,4645,-0.719046855454191,-1.43266170395969,0.576029894918164
"confus","confus",-0.0588952106470917,6901,1959,0.669697835790035,1.11478626225714,0.575196295800027
"domain","domain",-0.339900400191488,6089,1322,1.35205223533027,0.709103205850447,0.573751680329742
"condit","condit",-0.478205009740638,4566,1047,1.19779671202184,0.999948581587439,0.573180094622882
"implement","implement",1.12265663637906,14870,4905,0.360318716240482,-0.222977583633238,0.568650978750927
"core","core",-0.613177396840822,3578,773,1.36642719187945,0.951954640836019,0.568401478624883
"describ","describ",-0.011757177812149,7679,2064,0.794258316834988,0.911216807945571,0.56457264898947
"commit","commit",0.255808179869963,8162,2633,0.403335411126008,1.03176772901574,0.56363710667057
"import","import",1.10313188951016,14983,4871,0.388262987041078,-0.197716158340239,0.563037011630492
"charg","charg",-0.522599955277262,4117,957,1.16060046393661,1.05021812590201,0.562739544853787
"stop","stop",1.04264091248053,2468,4713,-1.21956503354932,-1.8627959531937,0.561957277374969
"expos","expos",-0.172340096664351,7810,1694,1.35488037977606,0.502011425623306,0.561517236245005
"decrypt","decrypt",-0.608643328573713,3834,782,1.53909331329895,0.753524502027601,0.561324828917614
"enabl","enabl",0.233560455845404,10049,2626,0.861214001946098,0.588145084323443,0.560973180704982
"privat","privat",0.817559270700749,7572,4035,-0.367288927749647,-1.22303720106988,0.557769181340328
"confirm","confirm",-0.472868772060065,4556,1062,1.15306211716032,0.989604290936024,0.556599212012094
